Elapsedtime,sample,Type,Sub,Chan,Num
0:00.283,102,(,0,0,0
0:00.333,120,p,0,0,0
0:00.369,133,),0,0,0
0:00.439,158,(,0,0,1
0:00.472,170,N,0,0,0
0:00.531,191,),0,0,1
0:00.711,256,(,0,0,2
0:00.817,294,t,0,0,0
0:00.908,327,),0,0,2
0:01.586,571,(,0,0,1
0:01.617,582,N,0,0,0
0:01.672,602,),0,0,1
0:01.844,664,(,0,0,2
0:01.939,698,t,0,0,0
0:02.028,730,),0,0,2
0:02.514,905,(,0,0,0
0:02.558,921,p,0,0,0
0:02.592,933,),0,0,0
0:02.653,955,(,0,0,1
0:02.681,965,N,0,0,0
0:02.736,985,),0,0,1
0:02.894,1042,(,0,0,2
0:03.000,1080,t,0,0,0
0:03.094,1114,),0,0,2
0:03.508,1263,(,0,0,0
0:03.547,1277,p,0,0,0
0:03.583,1290,),0,0,0
0:03.653,1315,(,0,0,1
0:03.683,1326,N,0,0,0
0:03.736,1345,),0,0,1
0:03.908,1407,(,0,0,2
0:04.011,1444,t,0,0,0
0:04.106,1478,),0,0,2
0:04.561,1642,(,0,0,0
0:04.603,1657,p,0,0,0
0:04.636,1669,),0,0,0
0:04.700,1692,(,0,0,1
0:04.731,1703,N,0,0,0
0:04.786,1723,),0,0,1
0:04.919,1771,(,0,0,2
0:05.019,1807,t,0,0,0
0:05.108,1839,),0,0,2
0:05.781,2081,(,0,0,1
0:05.814,2093,N,0,0,0
0:05.872,2114,),0,0,1
0:06.058,2181,(,0,0,2
0:06.158,2217,t,0,0,0
0:06.256,2252,),0,0,2
0:06.775,2439,(,0,0,0
0:06.828,2458,p,0,0,0
0:06.867,2472,),0,0,0
0:06.942,2499,(,0,0,1
0:06.972,2510,N,0,0,0
0:07.033,2532,),0,0,1
0:07.211,2596,(,0,0,2
0:07.308,2631,t,0,0,0
0:07.400,2664,),0,0,2
0:07.792,2805,(,0,0,0
0:07.839,2822,p,0,0,0
0:07.875,2835,),0,0,0
0:07.947,2861,(,0,0,1
0:07.975,2871,N,0,0,0
0:08.031,2891,),0,0,1
0:08.178,2944,(,0,0,2
0:08.275,2979,t,0,0,0
0:08.367,3012,),0,0,2
0:08.997,3239,(,0,0,1
0:09.028,3250,N,0,0,0
0:09.083,3270,),0,0,1
0:09.258,3333,(,0,0,2
0:09.353,3367,t,0,0,0
0:09.439,3398,),0,0,2
0:09.950,3582,(,0,0,0
0:09.997,3599,p,0,0,0
0:10.033,3612,),0,0,0
0:10.094,3634,(,0,0,1
0:10.125,3645,N,0,0,0
0:10.183,3666,),0,0,1
0:10.369,3733,(,0,0,2
0:10.461,3766,t,0,0,0
0:10.550,3798,),0,0,2
0:11.122,4004,(,0,0,1
0:11.153,4015,N,0,0,0
0:11.214,4037,),0,0,1
0:11.403,4105,(,0,0,2
0:11.497,4139,t,0,0,0
0:11.589,4172,),0,0,2
0:11.892,4281,(,0,0,0
0:11.933,4296,p,0,0,0
0:11.975,4311,),0,0,0
0:12.053,4339,(,0,0,1
0:12.083,4350,N,0,0,0
0:12.144,4372,),0,0,1
0:12.333,4440,(,0,0,2
0:12.425,4473,t,0,0,0
0:12.514,4505,),0,0,2
0:12.861,4630,(,0,0,0
0:12.908,4647,p,0,0,0
0:12.947,4661,),0,0,0
0:13.022,4688,(,0,0,1
0:13.053,4699,N,0,0,0
0:13.106,4718,),0,0,1
0:13.289,4784,(,0,0,2
0:13.386,4819,t,0,0,0
0:13.481,4853,),0,0,2
0:14.092,5073,(,0,0,1
0:14.122,5084,N,0,0,0
0:14.175,5103,),0,0,1
0:14.367,5172,(,0,0,2
0:14.456,5204,t,0,0,0
0:14.542,5235,),0,0,2
0:15.114,5441,(,0,0,1
0:15.144,5452,N,0,0,0
0:15.200,5472,),0,0,1
0:15.364,5531,(,0,0,2
0:15.456,5564,t,0,0,0
0:15.542,5595,),0,0,2
0:15.853,5707,(,0,0,0
0:15.894,5722,p,0,0,0
0:15.933,5736,),0,0,0
0:16.006,5762,(,0,0,1
0:16.036,5773,N,0,0,0
0:16.089,5792,),0,0,1
0:16.253,5851,(,0,0,2
0:16.344,5884,t,0,0,0
0:16.433,5916,),0,0,2
0:17.058,6141,(,0,0,1
0:17.089,6152,N,0,0,0
0:17.142,6171,),0,0,1
0:17.314,6233,(,0,0,2
0:17.419,6271,t,0,0,0
0:17.517,6306,),0,0,2
0:18.256,6572,(,0,0,1
0:18.289,6584,N,0,0,0
0:18.347,6605,),0,0,1
0:18.539,6674,(,0,0,2
0:18.639,6710,t,0,0,0
0:18.736,6745,),0,0,2
0:19.203,6913,(,0,0,0
0:19.244,6928,p,0,0,0
0:19.281,6941,),0,0,0
0:19.350,6966,(,0,0,1
0:19.381,6977,N,0,0,0
0:19.439,6998,),0,0,1
0:19.619,7063,(,0,0,2
0:19.714,7097,t,0,0,0
0:19.800,7128,),0,0,2
0:20.169,7261,(,0,0,0
0:20.217,7278,p,0,0,0
0:20.253,7291,),0,0,0
0:20.325,7317,(,0,0,1
0:20.356,7328,N,0,0,0
0:20.411,7348,),0,0,1
0:20.589,7412,(,0,0,2
0:20.689,7448,t,0,0,0
0:20.781,7481,),0,0,2
0:21.289,7664,(,0,0,0
0:21.336,7681,p,0,0,0
0:21.369,7693,),0,0,0
0:21.439,7718,(,0,0,1
0:21.469,7729,N,0,0,0
0:21.525,7749,),0,0,1
0:21.694,7810,(,0,0,2
0:21.786,7843,t,0,0,0
0:21.875,7875,),0,0,2
0:22.517,8106,(,0,0,1
0:22.544,8116,N,0,0,0
0:22.597,8135,),0,0,1
0:22.764,8195,(,0,0,2
0:22.833,8220,t,0,0,0
0:22.908,8247,),0,0,2
0:23.292,8385,(,0,0,0
0:23.339,8402,p,0,0,0
0:23.375,8415,),0,0,0
0:23.442,8439,(,0,0,1
0:23.472,8450,N,0,0,0
0:23.531,8471,),0,0,1
0:23.658,8517,t,0,0,2
0:23.811,8572,),0,0,2
0:23.958,8625,(,0,0,1
0:24.008,8643,N,0,0,0
0:24.078,8668,),0,0,1
0:24.214,8717,(,0,0,2
0:24.308,8751,t,0,0,0
0:24.389,8780,),0,0,2
0:24.950,8982,(,0,0,0
0:24.994,8998,p,0,0,0
0:25.033,9012,),0,0,0
0:25.100,9036,(,0,0,1
0:25.128,9046,N,0,0,0
0:25.186,9067,),0,0,1
0:25.364,9131,(,0,0,2
0:25.481,9173,t,0,0,0
0:25.581,9209,),0,0,2
0:26.222,9440,(,0,0,1
0:26.253,9451,N,0,0,0
0:26.308,9471,),0,0,1
0:26.478,9532,(,0,0,2
0:26.589,9572,t,0,0,0
0:26.681,9605,),0,0,2
0:27.272,9818,(,0,0,1
0:27.300,9828,N,0,0,0
0:27.358,9849,),0,0,1
0:27.522,9908,(,0,0,2
0:27.625,9945,t,0,0,0
0:27.714,9977,),0,0,2
0:28.292,10185,(,0,0,1
0:28.322,10196,N,0,0,0
0:28.381,10217,),0,0,1
0:28.556,10280,(,0,0,2
0:28.650,10314,t,0,0,0
0:28.736,10345,),0,0,2
0:29.347,10565,(,0,0,1
