Col1,wPre,Type
0.011,0.65833333,N
0.022,0.66666667,N
0.033,0.66111111,N
0.044,0.67777778,N
0.055,0.67222222,N
0.066,0.66944444,N
0.077,0.64166667,N
0.088,0.67500000,N
0.099,0.68888889,N
0.111,0.67500000,N
0.122,0.65833333,N
0.133,0.66666667,N
0.144,0.66944444,N
0.155,0.66666667,N
0.166,0.68333333,N
0.178,0.67777778,N
0.189,0.66666667,N
0.200,0.65833333,N
0.211,0.68055556,N
0.223,0.70277778,N
0.234,0.67500000,N
0.245,0.66944444,N
0.257,0.66666667,N
0.268,0.66944444,N
0.279,0.67222222,N
0.290,0.68611111,N
0.302,0.66666667,N
0.313,0.66111111,N
0.324,0.65833333,N
0.335,0.67500000,N
0.346,0.66111111,N
0.357,0.66388889,N
0.368,0.64722222,N
0.379,0.66388889,N
0.390,0.65000000,N
0.401,0.68055556,N
0.412,0.66944444,N
0.423,0.65277778,N
0.434,0.65555556,N
0.445,0.66666667,N
0.456,0.68333333,N
0.467,0.66944444,N
0.479,0.65833333,N
0.490,0.65277778,N
0.500,0.65000000,N
0.511,0.65277778,N
0.522,0.66944444,N
0.533,0.68611111,N
0.545,0.64722222,N
0.556,0.65833333,N
0.567,0.66111111,N
0.578,0.68611111,N
0.589,0.66388889,N
0.600,0.67222222,N
0.611,0.66388889,N
0.622,0.67777778,N
0.634,0.66388889,N
0.645,0.68055556,N
0.656,0.69444444,N
0.668,0.67500000,N
0.679,0.66388889,N
0.690,0.67777778,N
0.701,0.68888889,N
0.713,0.68333333,N
0.724,0.65833333,N
0.735,0.66944444,N
0.746,0.66388889,N
0.757,0.66944444,N
0.768,0.68055556,N
0.780,0.68055556,N
0.791,0.66111111,N
0.802,0.65555556,N
0.813,0.67222222,N
0.824,0.68333333,N
0.836,0.67500000,N
0.847,0.66111111,N
0.858,0.66388889,N
0.869,0.66388889,N
0.880,0.67222222,N
0.891,0.69166667,N
0.903,0.66111111,N
0.914,0.67500000,N
0.925,0.65833333,N
0.936,0.68333333,N
0.947,0.68055556,N
0.959,0.67777778,N
0.970,0.66388889,N
0.981,0.67500000,N
0.992,0.66666667,N
1.003,0.70000000,N
1.015,0.69166667,N
1.027,0.67777778,N
1.038,0.66388889,N
1.049,0.67500000,N
1.060,0.68888889,N
1.072,0.67500000,N
1.083,0.66111111,N
1.094,0.66666667,N
1.105,0.66388889,N
1.116,0.65555556,N
1.127,0.67500000,N
1.138,0.68333333,N
1.150,0.65277778,N
1.161,0.65555556,N
1.172,0.66666667,N
1.183,0.68055556,N
1.194,0.65833333,N
1.205,0.66388889,N
1.216,0.65833333,N
1.227,0.66944444,N
1.238,0.66388889,N
1.249,0.67222222,N
1.260,0.66944444,N
1.272,0.66111111,N
1.283,0.66666667,N
1.294,0.68055556,N
1.305,0.69166667,N
1.317,0.66666667,N
1.328,0.65000000,N
1.339,0.65833333,N
1.350,0.67222222,N
1.361,0.67222222,N
1.372,0.66944444,N
1.383,0.66666667,N
1.394,0.66111111,N
1.405,0.67222222,N
1.416,0.68055556,N
1.428,0.68611111,N
1.439,0.67777778,N
1.451,0.65555556,N
1.461,0.65833333,N
1.472,0.66111111,N
1.483,0.67500000,N
1.495,0.67777778,N
1.506,0.66666667,N
1.517,0.66666667,N
1.528,0.64722222,N
1.539,0.66944444,N
1.550,0.67222222,N
1.561,0.66388889,N
1.572,0.65000000,N
1.583,0.65277778,N
1.594,0.65555556,N
1.605,0.67222222,N
1.616,0.67777778,N
1.628,0.66666667,N
1.639,0.66388889,N
1.650,0.65555556,N
1.661,0.67222222,N
1.672,0.67222222,N
1.683,0.66666667,N
1.694,0.65000000,N
1.705,0.65277778,N
1.716,0.65833333,N
1.727,0.66666667,N
1.738,0.67222222,N
1.749,0.65000000,N
1.760,0.66388889,N
1.771,0.64444444,N
1.782,0.67222222,N
1.793,0.65833333,N
1.804,0.66388889,N
1.815,0.64722222,N
1.826,0.64722222,N
1.837,0.65555556,N
1.848,0.67222222,N
1.859,0.66388889,N
1.870,0.65833333,N
1.881,0.65555556,N
1.892,0.65277778,N
1.903,0.66111111,N
1.914,0.66111111,N
1.925,0.66666667,N
1.936,0.63888889,N
1.946,0.63888889,N
1.957,0.65277778,N
1.968,0.65833333,N
1.979,0.66388889,N
1.990,0.65000000,N
2.001,0.65833333,N
2.012,0.64722222,N
2.023,0.66944444,N
2.034,0.67222222,N
2.045,0.67222222,N
2.056,0.65277778,N
2.067,0.66944444,N
2.078,0.66388889,N
2.089,0.68333333,N
2.101,0.68333333,N
2.112,0.66388889,N
2.123,0.66944444,N
2.134,0.66944444,N
2.145,0.68333333,N
2.157,0.66944444,N
2.168,0.66666667,N
2.179,0.66388889,N
2.190,0.66111111,N
2.201,0.66388889,N
2.212,0.66666667,N
2.223,0.68055556,N
2.235,0.65833333,N
2.246,0.66944444,N
2.257,0.67500000,N
2.268,0.69444444,N
2.280,0.65833333,N
2.291,0.66388889,N
2.302,0.65833333,N
2.313,0.68055556,N
2.324,0.66111111,N
2.335,0.68055556,N
2.346,0.66111111,N
2.357,0.66944444,N
2.368,0.65000000,N
2.379,0.67222222,N
2.391,0.67777778,N
2.402,0.66666667,N
2.413,0.65000000,N
2.424,0.65833333,N
2.435,0.66666667,N
2.446,0.68055556,N
2.457,0.68611111,N
2.469,0.67777778,N
2.480,0.66944444,N
2.491,0.65277778,N
2.502,0.66666667,N
2.513,0.68888889,N
2.525,0.66666667,N
2.536,0.65000000,N
2.546,0.64722222,N
2.557,0.66388889,N
2.568,0.66388889,N
2.579,0.67222222,N
2.591,0.66388889,N
2.602,0.66944444,N
2.613,0.65833333,N
2.624,0.68055556,N
2.635,0.67777778,N
2.646,0.67500000,N
2.658,0.66388889,N
2.669,0.67222222,N
2.680,0.66111111,N
2.691,0.67777778,N
2.702,0.67222222,N
2.713,0.65833333,N
2.724,0.65833333,N
2.735,0.66111111,N
2.746,0.66666667,N
2.758,0.66388889,N
2.769,0.65277778,N
2.779,0.65000000,N
2.790,0.65555556,N
2.801,0.65555556,N
2.812,0.67222222,N
2.823,0.67222222,N
2.835,0.65277778,N
2.845,0.66111111,N
2.856,0.65833333,N
2.867,0.69444444,N
2.879,0.66666667,N
2.890,0.66666667,N
2.901,0.64722222,N
2.912,0.65555556,N
2.923,0.65277778,N
2.934,0.67222222,N
2.945,0.67222222,N
2.956,0.64722222,N
2.967,0.65000000,N
2.978,0.66666667,N
2.989,0.68611111,N
3.000,0.66666667,N
3.012,0.66388889,N
3.023,0.66388889,N
3.034,0.66388889,N
3.045,0.66666667,N
3.056,0.66944444,N
3.067,0.68055556,N
3.078,0.65277778,N
3.089,0.65555556,N
3.100,0.65277778,N
3.111,0.68055556,N
3.122,0.65555556,N
3.133,0.65000000,N
3.144,0.64166667,N
3.155,0.65277778,N
3.166,0.64166667,N
3.176,0.66388889,N
3.187,0.67222222,N
3.199,0.65555556,N
3.210,0.64722222,N
3.220,0.65277778,N
3.231,0.68333333,N
3.243,0.66666667,N
3.254,0.66111111,N
3.265,0.65833333,N
3.276,0.65277778,N
3.287,0.64722222,N
3.297,0.66388889,N
3.308,0.68055556,N
3.320,0.65000000,N
3.331,0.64444444,N
3.341,0.64722222,N
3.352,0.66944444,N
3.363,0.65555556,N
3.374,0.66111111,N
3.385,0.65000000,N
3.396,0.65833333,N
3.407,0.65555556,N
3.418,0.66388889,N
3.429,0.67500000,N
3.440,0.65277778,N
3.451,0.65833333,N
3.462,0.66388889,N
3.473,0.68888889,N
3.485,0.66111111,N
3.496,0.65833333,N
3.507,0.65833333,N
3.518,0.66944444,N
3.529,0.67222222,N
3.540,0.67777778,N
3.551,0.68611111,N
3.563,0.67222222,N
3.574,0.65833333,N
3.585,0.67500000,N
3.596,0.70000000,N
3.608,0.67222222,N
3.619,0.66666667,N
3.630,0.66666667,N
3.641,0.67500000,N
3.653,0.66944444,N
3.664,0.67500000,N
3.675,0.68055556,N
3.686,0.67500000,N
3.698,0.65833333,N
3.709,0.67777778,N
3.720,0.68888889,N
3.731,0.67777778,N
3.743,0.65833333,N
3.754,0.67500000,N
3.765,0.68055556,N
3.776,0.68611111,N
3.788,0.69166667,N
3.799,0.66666667,N
3.810,0.66944444,N
3.821,0.66944444,N
3.833,0.70555556,N
3.844,0.67777778,N
3.856,0.67777778,N
3.867,0.66111111,N
3.878,0.65833333,N
3.889,0.65833333,N
3.900,0.66944444,N
3.911,0.68888889,N
3.922,0.66388889,N
3.934,0.65833333,N
3.945,0.67500000,N
3.956,0.68888889,N
3.967,0.66944444,N
3.978,0.66388889,N
3.989,0.66666667,N
4.001,0.67777778,N
4.012,0.66111111,N
4.023,0.67500000,N
4.034,0.67500000,N
4.045,0.68055556,N
4.057,0.65000000,N
4.068,0.66944444,N
4.079,0.67777778,N
4.090,0.66666667,N
4.101,0.64444444,N
4.112,0.46666667,V
4.120,0.85277778,N
4.134,0.66666667,N
4.145,0.66388889,N
4.156,0.66388889,N
4.167,0.65555556,N
4.178,0.64166667,N
4.189,0.66666667,N
4.200,0.67500000,N
4.211,0.65555556,N
4.222,0.63611111,N
4.233,0.64444444,N
4.243,0.66944444,N
4.255,0.66944444,N
4.266,0.66666667,N
4.277,0.65833333,N
4.288,0.65277778,N
4.299,0.65555556,N
4.310,0.67777778,N
4.321,0.67777778,N
4.332,0.65277778,N
4.343,0.64166667,N
4.354,0.64722222,N
4.365,0.65555556,N
4.375,0.65555556,N
4.386,0.66111111,N
4.397,0.64166667,N
4.408,0.65555556,N
4.419,0.64166667,N
4.430,0.67777778,N
4.441,0.66666667,N
4.452,0.66111111,N
4.463,0.64444444,N
4.474,0.64722222,N
4.485,0.65277778,N
4.496,0.65555556,N
4.506,0.66111111,N
4.518,0.65000000,N
4.528,0.64166667,N
4.539,0.62777778,N
4.549,0.64722222,N
4.560,0.66388889,N
4.571,0.63888889,N
4.582,0.63055556,N
4.593,0.63055556,N
4.603,0.65000000,N
4.614,0.62500000,N
4.624,0.65000000,N
4.635,0.64166667,N
4.646,0.63611111,N
4.656,0.62222222,N
4.667,0.63611111,N
4.677,0.65277778,N
4.688,0.63055556,N
4.699,0.62500000,N
4.709,0.61944444,N
4.719,0.61666667,N
4.730,0.61111111,N
4.740,0.62222222,N
4.750,0.61944444,N
4.761,0.61111111,N
4.771,0.60833333,N
4.781,0.60277778,N
4.791,0.62222222,N
4.801,0.63333333,N
4.812,0.60555556,N
4.822,0.60277778,N
4.832,0.61944444,N
4.842,0.63055556,N
4.853,0.61388889,N
4.863,0.63333333,N
4.874,0.64444444,N
4.884,0.62500000,N
4.895,0.63055556,N
4.905,0.62500000,N
4.916,0.65000000,N
4.927,0.63888889,N
4.937,0.63888889,N
4.948,0.37500000,V
4.954,0.86944444,N
4.969,0.50555556,A
4.983,0.31944444,V
4.988,0.29722222,V
4.993,0.34722222,V
4.999,0.35277778,V
5.005,0.33333333,V
5.010,0.31388889,V
5.016,0.35277778,V
5.031,0.64722222,N
5.053,0.29722222,V
5.058,0.34166667,V
5.064,0.30000000,V
5.069,0.30277778,V
5.074,0.29722222,V
5.079,0.26388889,V
