Col1,wPre,Type
0.004,0.86944444,N
0.018,0.87500000,N
0.033,0.89166667,N
0.048,0.93333333,N
0.063,0.95555556,N
0.079,0.90000000,N
0.094,0.86944444,N
0.109,0.86944444,N
0.123,0.86111111,N
0.138,0.91388889,N
0.153,0.91666667,N
0.168,0.91388889,N
0.183,0.89722222,N
0.198,0.90555556,N
0.213,0.88611111,N
0.228,0.86944444,N
0.243,0.91111111,N
0.258,0.91388889,N
0.273,0.90277778,N
0.288,0.84722222,N
0.302,0.83888889,N
0.316,0.86944444,N
0.331,0.88888889,N
0.346,0.89722222,N
0.360,0.88611111,N
0.375,0.85833333,N
0.390,0.85277778,N
0.404,0.84722222,N
0.418,0.81944444,N
0.432,0.85277778,N
0.446,0.90277778,N
0.461,0.91111111,N
0.476,0.85833333,N
0.490,0.83888889,N
0.504,0.81388889,N
0.518,0.79166667,N
0.531,0.80555556,N
0.544,0.80555556,N
0.558,0.80000000,N
0.571,0.78611111,N
0.584,0.80555556,N
0.598,0.75555556,N
0.610,0.76111111,N
0.623,0.78611111,N
0.636,0.80555556,N
0.650,0.84166667,N
0.664,0.85277778,N
0.678,0.78611111,N
0.691,0.75555556,N
0.703,0.77500000,N
0.716,0.79444444,N
0.730,0.80833333,N
0.743,0.83333333,N
0.757,0.84444444,N
0.771,0.83611111,N
0.785,0.81666667,N
0.799,0.78333333,N
0.812,0.78333333,N
0.825,0.79166667,N
0.838,0.82500000,N
0.852,0.80833333,N
0.865,0.80555556,N
0.879,0.80555556,N
0.892,0.80833333,N
0.905,0.83888889,N
0.919,0.86944444,N
0.934,0.88888889,N
0.949,0.91388889,N
0.964,0.95555556,N
0.980,0.92222222,N
0.995,0.86111111,N
1.010,0.89444444,N
1.025,0.89166667,N
1.039,0.91944444,N
1.055,0.95555556,N
1.071,0.91944444,N
1.086,0.88055556,N
1.101,0.87777778,N
1.115,0.87222222,N
1.130,0.87777778,N
1.144,0.88888889,N
1.159,0.92777778,N
1.175,0.91666667,N
1.190,0.84444444,N
1.204,0.83888889,N
1.218,0.90833333,N
1.233,0.91666667,N
1.248,0.93333333,N
1.264,0.88333333,N
1.279,0.86944444,N
1.293,0.85833333,N
1.308,0.87777778,N
1.322,0.83888889,N
1.336,0.81666667,N
1.350,0.86666667,N
1.364,0.87500000,N
1.379,0.85000000,N
1.393,0.83055556,N
1.407,0.83611111,N
1.421,0.82500000,N
1.434,0.90277778,N
1.450,0.90000000,N
1.465,0.86944444,N
1.479,0.87500000,N
1.494,0.84166667,N
1.508,0.83611111,N
1.522,0.83055556,N
1.535,0.83888889,N
1.549,0.86111111,N
1.564,0.87500000,N
1.578,0.83055556,N
1.592,0.80000000,N
1.606,0.83611111,N
1.619,0.85555556,N
1.634,0.86111111,N
1.648,0.87222222,N
1.663,0.84722222,N
1.677,0.86666667,N
1.691,0.85555556,N
1.705,0.84444444,N
1.719,0.85833333,N
1.734,0.89722222,N
1.749,0.90555556,N
1.764,0.91944444,N
1.779,0.88333333,N
1.794,0.86388889,N
1.808,0.88055556,N
1.823,0.87777778,N
1.838,0.89166667,N
1.852,0.90833333,N
1.897,0.80277778,N
1.910,0.77222222,N
1.923,0.79444444,N
1.950,0.81944444,N
1.964,0.81388889,N
1.978,0.76666667,N
1.990,0.77222222,N
2.003,0.77222222,N
2.016,0.75000000,N
2.029,0.77500000,N
2.041,0.81111111,N
2.055,0.80277778,N
2.068,0.83611111,N
2.082,0.81388889,N
2.096,0.78611111,N
2.109,0.79444444,N
2.122,0.83055556,N
2.136,0.83888889,N
2.150,0.86111111,N
2.164,0.86111111,N
2.179,0.83055556,N
2.193,0.82222222,N
2.206,0.80277778,N
2.220,0.78888889,N
2.233,0.80277778,N
2.246,0.84444444,N
2.260,0.84444444,N
2.274,0.82500000,N
2.288,0.76944444,N
2.301,0.77500000,N
2.314,0.75000000,N
2.326,0.77500000,N
2.339,0.80277778,N
2.353,0.82777778,N
2.366,0.79444444,N
2.380,0.79722222,N
2.393,0.77222222,N
2.406,0.76111111,N
2.418,0.75833333,N
2.431,0.78333333,N
2.444,0.81388889,N
2.458,0.81666667,N
2.471,0.79444444,N
2.485,0.77777778,N
2.498,0.76111111,N
2.510,0.82222222,N
2.524,0.82500000,N
2.538,0.81388889,N
2.551,0.82777778,N
2.565,0.84722222,N
2.579,0.83611111,N
2.593,0.82222222,N
2.607,0.83333333,N
2.621,0.86388889,N
2.635,0.92777778,N
2.651,0.94444444,N
2.666,0.93333333,N
2.682,0.88055556,N
2.697,0.82500000,N
2.710,0.84166667,N
2.724,0.89166667,N
2.739,0.90000000,N
2.754,0.92222222,N
2.770,0.92777778,N
2.785,0.89166667,N
2.800,0.85277778,N
2.814,0.84722222,N
2.828,0.85000000,N
2.842,0.92222222,N
2.858,0.91944444,N
2.873,0.83611111,N
2.887,0.86944444,N
2.901,0.89444444,N
2.946,0.93333333,N
2.961,0.90277778,N
2.976,0.93055556,N
2.992,0.83888889,N
3.006,0.87777778,N
3.021,0.91944444,N
3.036,0.91666667,N
3.051,0.88611111,N
3.066,0.94166667,N
3.082,0.90555556,N
3.097,0.85555556,N
3.111,0.86666667,N
3.125,0.89444444,N
3.140,0.92222222,N
3.156,0.94722222,N
3.172,0.90277778,N
3.187,0.85000000,N
3.201,0.86111111,N
3.215,0.86388889,N
3.229,0.90277778,N
3.245,0.93055556,N
3.260,0.93055556,N
3.276,0.93333333,N
3.291,0.86666667,N
3.306,0.86111111,N
3.320,0.86388889,N
3.334,0.91388889,N
3.350,0.91666667,N
3.365,0.89444444,N
3.380,0.84722222,N
3.394,0.81388889,N
3.407,0.86666667,N
3.422,0.88055556,N
3.437,0.90833333,N
3.452,0.94444444,N
3.467,0.88055556,N
3.482,0.90000000,N
3.497,0.88055556,N
3.512,0.86944444,N
3.526,0.90555556,N
3.541,0.93888889,N
3.557,0.91666667,N
3.572,0.93611111,N
3.588,0.91388889,N
3.603,0.88888889,N
3.618,0.90833333,N
3.633,0.94722222,N
3.649,0.95555556,N
3.665,0.99166667,N
3.681,0.93611111,N
3.697,0.85555556,N
3.711,0.84166667,N
3.725,0.85833333,N
3.739,0.92777778,N
3.755,0.95833333,N
3.771,0.93888889,N
3.787,0.89722222,N
3.802,0.91666667,N
3.817,0.91666667,N
3.832,0.92777778,N
3.848,0.90555556,N
3.863,0.95555556,N
3.879,0.94722222,N
3.894,0.85833333,N
3.909,0.85555556,N
3.923,0.93611111,N
3.939,0.96111111,N
3.955,0.92777778,N
3.970,0.87777778,N
3.985,0.84444444,N
3.999,0.86388889,N
4.013,0.85833333,N
4.027,0.86944444,N
4.042,0.96944444,N
4.058,0.96111111,N
4.074,0.93888889,N
4.090,0.91388889,N
4.105,0.92222222,N
4.120,0.96111111,N
4.136,0.98333333,N
4.153,1.00277778,N
4.169,0.94166667,N
4.185,0.93888889,N
4.201,0.92222222,N
4.216,0.91111111,N
4.231,0.96111111,N
4.247,0.97500000,N
4.264,0.98333333,N
4.280,0.95277778,N
4.296,0.94444444,N
4.312,0.94444444,N
4.327,0.96111111,N
4.343,0.94444444,N
4.359,1.00000000,N
4.376,0.97777778,N
4.392,0.91666667,N
4.407,0.91388889,N
4.423,0.93333333,N
4.438,1.00833333,N
4.455,1.00555556,N
4.472,0.97777778,N
4.488,0.95277778,N
4.504,0.91111111,N
4.519,0.93888889,N
4.535,0.94444444,N
4.550,0.99166667,N
4.567,1.01388889,N
4.584,0.96111111,N
4.600,0.92777778,N
4.615,0.90000000,N
4.630,0.95833333,N
4.646,1.00277778,N
4.663,1.01111111,N
4.680,0.94444444,N
4.696,0.95833333,N
4.712,0.95000000,N
4.727,0.95277778,N
4.743,1.02500000,N
4.760,1.03333333,N
4.778,0.99444444,N
4.794,0.90555556,N
4.809,0.91388889,N
4.825,0.93888889,N
4.840,0.93055556,N
4.856,0.87777778,N
4.870,0.92500000,N
4.886,0.88888889,N
4.901,0.91666667,N
4.916,0.89722222,N
4.931,0.93611111,N
4.946,1.01666667,N
4.963,0.99722222,N
4.980,0.97500000,N
4.996,0.93055556,N
5.012,0.89166667,N
5.027,0.95555556,N
5.043,0.98888889,N
5.059,1.00000000,N
5.076,1.01111111,N
5.093,0.96666667,N
5.109,0.95833333,N
5.125,0.98888889,N
5.141,1.00833333,N
5.158,1.05833333,N
5.176,1.03888889,N
5.193,0.99166667,N
5.209,0.99444444,N
5.226,1.01388889,N
5.243,1.02777778,N
5.260,1.02777778,N
5.277,1.02500000,N
5.310,0.99166667,N
5.358,0.96944444,N
5.375,0.95833333,N
5.391,0.92500000,N
5.406,0.91388889,N
5.421,0.93055556,N
5.437,0.96111111,N
5.453,1.01388889,N
5.470,1.02222222,N
5.487,0.94722222,N
5.502,0.90000000,N
5.517,0.93055556,N
5.533,0.92500000,N
5.548,0.90555556,N
5.563,0.91944444,N
5.579,0.89166667,N
5.594,0.90277778,N
5.609,0.86111111,N
5.623,0.83888889,N
5.637,0.91944444,N
5.652,0.98611111,N
5.669,0.98888889,N
5.685,0.95277778,N
5.701,0.91666667,N
5.716,0.96666667,N
5.733,0.98888889,N
5.749,0.99166667,N
5.766,0.99166667,N
5.782,0.94444444,N
5.798,0.91666667,N
5.813,0.90555556,N
5.828,0.93888889,N
5.844,1.01388889,N
5.861,1.00277778,N
5.877,0.95833333,N
5.893,0.93888889,N
5.909,0.92222222,N
5.924,0.89444444,N
5.939,0.94722222,N
5.955,0.98333333,N
5.972,1.01944444,N
5.989,0.95000000,N
6.004,0.86944444,N
6.019,0.90555556,N
6.034,0.87777778,N
6.049,0.94444444,N
6.064,0.91666667,N
6.080,0.91111111,N
6.095,0.86111111,N
6.109,0.85833333,N
6.123,0.86111111,N
6.138,0.93055556,N
6.153,1.00555556,N
6.170,1.04444444,N
6.187,1.02500000,N
6.205,0.96388889,N
6.221,0.98888889,N
6.237,1.06666667,N
6.255,0.53888889,A
6.264,1.18333333,N
6.284,1.00555556,N
6.300,0.96388889,N
