Col1,wPre,Type
0.014,0.53888889,V
0.023,1.31666667,N
0.045,0.93888889,N
0.061,0.93333333,N
0.076,0.88888889,N
0.091,0.89722222,N
0.106,0.53888889,V
0.115,1.30000000,N
0.137,0.94444444,N
0.153,0.88055556,N
0.167,0.86111111,N
0.182,0.92777778,N
0.197,0.53055556,V
0.206,1.27222222,N
0.227,0.92500000,N
0.243,0.86944444,N
0.257,0.91666667,N
0.272,0.91111111,N
0.287,0.86388889,N
0.302,0.95277778,N
0.318,0.93333333,N
0.333,0.86666667,N
0.357,1.30277778,N
0.379,0.55277778,V
0.388,1.34166667,N
0.410,0.53333333,V
0.419,1.33055556,N
0.441,0.56944444,V
0.451,1.27222222,N
0.472,0.63055556,V
0.482,1.23888889,N
0.503,0.55000000,V
0.534,0.88333333,N
0.549,0.89722222,N
0.564,0.87777778,N
0.579,0.83888889,N
0.602,1.28611111,N
0.623,0.54166667,V
0.632,1.28611111,N
0.654,0.56944444,V
0.663,1.28611111,N
0.685,0.53611111,V
0.715,0.88055556,N
0.730,0.86666667,N
0.744,0.90277778,N
0.759,0.87500000,N
0.774,0.52222222,V
0.783,1.34166667,N
0.805,0.91944444,N
0.820,0.53055556,V
0.829,1.31944444,N
0.851,0.93888889,N
0.867,0.54166667,V
0.876,1.33888889,N
0.898,0.59166667,V
0.908,1.35555556,N
0.931,0.92500000,N
0.955,1.31666667,N
0.977,0.53888889,V
0.986,1.29722222,N
1.008,0.57500000,V
1.038,0.92500000,N
1.053,0.88333333,N
1.068,0.88611111,N
1.082,0.94722222,N
1.098,0.92222222,N
1.114,0.97777778,N
1.130,0.94722222,N
1.146,0.89722222,N
1.161,0.53611111,V
1.170,1.36944444,N
1.192,0.87777778,N
1.207,0.91666667,N
1.222,0.90833333,N
1.237,0.88333333,N
1.252,0.88611111,N
1.267,0.91388889,N
1.282,0.52222222,V
1.291,1.35555556,N
1.313,0.96388889,N
1.330,0.93611111,N
1.345,0.89166667,N
1.360,0.91111111,N
1.385,1.32222222,N
1.407,0.52500000,V
1.416,1.36388889,N
1.438,0.54444444,V
1.469,0.93333333,N
1.484,0.86666667,N
1.499,0.89444444,N
1.514,0.91111111,N
1.529,0.88611111,N
1.544,0.89722222,N
1.559,0.92777778,N
1.574,0.91111111,N
1.589,0.91111111,N
1.604,0.93888889,N
1.620,0.95277778,N
1.636,0.91111111,N
1.651,0.96944444,N
1.667,0.94166667,N
1.683,0.91666667,N
1.698,0.95555556,N
1.714,0.91111111,N
1.729,0.90277778,N
1.744,0.96111111,N
1.761,0.90555556,N
1.776,0.89444444,N
1.791,0.94444444,N
1.806,0.90277778,N
1.821,0.88333333,N
1.836,0.90555556,N
1.851,0.87777778,N
1.866,0.90833333,N
1.881,0.90277778,N
1.896,0.90555556,N
1.911,0.91666667,N
1.926,0.91111111,N
1.941,0.52777778,V
1.950,1.30277778,N
1.972,0.92222222,N
1.987,0.89444444,N
2.002,0.86944444,N
2.017,0.88611111,N
2.032,0.90277778,N
