Col1,wPre,Type
0.004,0.77777778,N
0.017,0.79166667,N
0.030,0.68333333,N
0.041,0.83611111,N
0.055,0.80277778,N
0.069,0.82222222,N
0.082,0.81666667,N
0.096,0.73055556,N
0.108,0.85833333,N
0.122,0.81944444,N
0.136,0.70000000,N
0.148,0.91388889,N
0.163,0.86388889,N
0.177,0.77222222,N
0.190,0.82222222,N
0.204,0.79166667,N
0.217,0.79166667,N
0.230,0.72222222,N
0.242,0.93333333,N
0.258,0.89166667,N
0.273,0.83611111,N
0.287,0.80555556,N
0.300,0.81388889,N
0.314,0.70833333,N
0.326,0.83333333,N
0.339,0.77222222,N
0.352,0.79166667,N
0.365,0.85000000,N
0.380,0.77500000,N
0.393,0.78611111,N
0.406,0.78055556,N
0.419,0.69722222,N
0.430,0.86111111,N
0.445,0.86666667,N
0.459,0.77777778,N
0.472,0.88611111,N
0.487,0.74166667,N
0.499,0.80555556,N
0.513,0.78888889,N
0.526,0.79166667,N
0.539,0.74166667,N
0.551,0.92222222,N
0.567,0.85277778,N
0.581,0.75833333,N
0.594,0.84444444,N
0.608,0.78055556,N
0.621,0.74444444,N
0.633,0.80000000,N
0.646,0.80833333,N
0.660,0.83055556,N
0.674,0.87500000,N
0.688,0.75277778,N
0.701,0.79444444,N
0.714,0.79166667,N
0.727,0.70277778,N
0.739,0.86944444,N
0.753,0.82500000,N
0.767,0.80000000,N
0.781,0.80000000,N
0.794,0.74166667,N
0.806,0.85000000,N
0.820,0.76666667,N
0.833,0.71944444,N
0.845,0.88611111,N
0.860,0.79722222,N
0.873,0.81388889,N
0.887,0.78611111,N
0.900,0.76388889,N
0.913,0.80277778,N
0.926,0.78055556,N
0.939,0.72777778,N
0.951,0.92777778,N
0.967,0.81388889,N
0.980,0.79722222,N
0.993,0.77222222,N
1.006,0.85277778,N
1.021,0.72777778,N
1.033,0.77777778,N
1.046,0.90555556,N
1.061,0.81111111,N
1.074,0.75555556,N
1.087,0.86388889,N
1.101,0.82500000,N
1.115,0.73611111,N
1.127,0.79166667,N
1.140,0.80000000,N
1.154,0.82500000,N
1.167,0.88333333,N
1.182,0.74722222,N
1.195,0.89166667,N
1.210,0.76111111,N
1.222,0.78055556,N
1.235,0.84722222,N
1.249,0.81666667,N
1.263,0.90000000,N
1.278,0.80555556,N
1.291,0.82222222,N
1.305,0.74166667,N
1.317,0.86388889,N
1.332,0.77777778,N
1.345,0.81944444,N
1.358,0.89166667,N
1.373,0.80555556,N
1.387,0.76666667,N
1.400,0.87222222,N
1.414,0.78055556,N
1.427,0.73333333,N
1.439,0.85833333,N
1.454,0.81944444,N
1.467,0.80000000,N
1.481,0.81666667,N
1.494,0.81388889,N
1.508,0.71666667,N
1.520,0.83611111,N
1.534,0.73055556,N
1.546,0.85833333,N
1.560,0.81944444,N
1.574,0.82500000,N
1.588,0.83333333,N
1.601,0.85277778,N
1.616,0.81388889,N
1.629,0.81388889,N
1.643,0.88055556,N
1.657,0.89166667,N
1.672,0.86666667,N
1.687,0.85833333,N
1.701,0.87500000,N
1.716,0.72500000,N
1.728,0.87500000,N
1.742,0.90277778,N
1.757,0.89166667,N
1.772,0.89722222,N
1.787,0.86388889,N
1.816,0.84166667,N
1.830,0.81666667,N
1.843,0.89166667,N
1.873,0.85833333,N
1.888,0.73888889,N
1.900,0.89722222,N
1.929,0.77222222,N
1.957,0.85000000,N
1.971,0.79722222,N
1.984,0.87500000,N
1.999,0.80833333,N
2.012,0.76388889,N
2.025,0.83888889,N
2.039,0.81666667,N
2.053,0.83611111,N
2.067,0.88888889,N
2.081,0.77500000,N
2.094,0.80555556,N
2.108,0.83611111,N
2.122,0.72777778,N
2.134,0.78611111,N
2.147,0.85000000,N
2.161,0.82500000,N
2.175,0.79722222,N
2.188,0.78888889,N
2.201,0.73888889,N
2.214,0.78888889,N
2.227,0.77222222,N
2.240,0.74722222,N
2.252,0.88333333,N
2.267,0.75833333,N
2.279,0.79722222,N
2.293,0.78888889,N
2.306,0.77500000,N
2.319,0.83611111,N
2.333,0.74444444,N
2.345,0.84166667,N
2.359,0.84166667,N
2.373,0.84166667,N
2.387,0.76388889,N
2.400,0.88055556,N
2.415,0.77222222,N
2.428,0.75277778,N
2.440,0.91944444,N
2.455,0.81388889,N
2.469,0.85000000,N
2.483,0.80000000,N
2.496,0.86666667,N
2.511,0.72777778,N
2.523,0.87500000,N
2.538,0.81944444,N
2.551,0.80833333,N
2.565,0.90000000,N
2.580,0.81666667,N
2.593,0.83055556,N
2.607,0.79722222,N
2.621,0.83333333,N
2.634,0.74722222,N
2.647,0.85555556,N
2.661,0.86388889,N
2.676,0.84166667,N
2.690,0.78055556,N
2.703,0.86111111,N
2.717,0.74166667,N
2.729,0.81666667,N
2.743,0.83888889,N
2.757,0.85000000,N
2.771,0.76666667,N
2.784,0.88333333,N
2.799,0.74722222,N
2.811,0.86111111,N
2.825,0.74444444,N
2.838,0.82500000,N
2.851,0.81944444,N
2.865,0.84722222,N
2.879,0.80555556,N
2.893,0.86666667,N
2.907,0.78611111,N
2.920,0.78333333,N
2.933,0.85833333,N
2.948,0.80277778,N
2.961,0.92222222,N
2.976,0.86111111,N
2.991,0.85555556,N
3.005,0.83055556,N
3.019,0.85555556,N
3.033,0.84166667,N
3.047,0.88055556,N
3.062,0.80555556,N
3.075,0.90555556,N
3.090,0.85555556,N
3.105,0.74444444,N
3.117,0.89444444,N
3.132,0.73888889,N
3.144,0.85000000,N
3.158,0.89722222,N
3.173,0.83333333,N
3.187,0.82222222,N
3.201,0.82222222,N
3.215,0.71666667,N
3.227,0.86388889,N
3.241,0.80000000,N
3.254,0.83055556,N
3.268,0.90833333,N
3.283,0.80000000,N
3.297,0.73333333,N
3.309,0.86111111,N
3.323,0.76388889,N
3.336,0.79166667,N
3.349,0.85000000,N
3.363,0.81666667,N
3.377,0.80277778,N
3.390,0.87222222,N
3.405,0.72777778,N
3.417,0.85555556,N
3.431,0.77777778,N
3.444,0.74722222,N
3.457,0.94166667,N
3.472,0.92222222,N
3.488,0.83333333,N
3.502,0.79444444,N
3.515,0.76388889,N
3.527,0.79722222,N
3.541,0.82222222,N
3.554,0.85000000,N
3.569,0.85833333,N
3.583,0.75000000,N
3.595,0.89722222,N
3.610,0.76388889,N
3.623,0.82500000,N
3.637,0.88055556,N
3.652,0.83055556,N
3.665,0.91388889,N
3.681,0.76666667,N
3.693,0.90833333,N
3.709,0.79166667,N
3.722,0.76666667,N
3.735,0.86666667,N
3.749,0.78055556,N
3.762,0.94166667,N
3.778,0.85000000,N
3.792,0.82500000,N
3.806,0.72500000,N
3.818,0.88055556,N
3.832,0.82222222,N
3.846,0.86388889,N
3.860,0.85833333,N
3.875,0.86388889,N
3.889,0.72500000,N
3.901,0.87777778,N
3.916,0.75000000,N
3.928,0.83055556,N
3.942,0.83611111,N
3.956,0.76111111,N
3.969,0.93055556,N
3.984,0.80833333,N
3.998,0.76944444,N
4.011,0.87222222,N
4.025,0.74722222,N
4.038,0.79722222,N
4.051,0.90555556,N
4.066,0.83888889,N
4.080,0.74166667,N
4.092,0.89166667,N
4.107,0.83611111,N
4.121,0.73888889,N
4.133,0.85277778,N
4.148,0.84444444,N
4.162,0.84722222,N
4.176,0.86944444,N
4.190,0.78333333,N
4.203,0.74444444,N
4.216,0.87500000,N
4.230,0.75833333,N
4.243,0.82222222,N
4.257,0.83888889,N
4.271,0.83333333,N
4.285,0.79444444,N
4.298,0.73888889,N
4.310,0.85833333,N
4.324,0.73888889,N
4.337,0.79444444,N
4.350,0.83333333,N
4.364,0.78888889,N
4.377,0.86388889,N
4.391,0.80277778,N
4.405,0.76666667,N
4.418,0.78055556,N
4.431,0.74444444,N
4.443,0.83611111,N
4.457,0.83055556,N
4.471,0.75833333,N
4.483,0.87500000,N
4.498,0.81388889,N
4.512,0.73888889,N
4.524,0.86666667,N
4.538,0.75555556,N
4.551,0.84444444,N
4.565,0.84722222,N
4.579,0.83055556,N
4.593,0.77222222,N
4.606,0.81111111,N
4.619,0.80555556,N
4.633,0.71666667,N
4.645,0.91666667,N
4.660,0.86388889,N
4.674,0.78333333,N
4.688,0.81388889,N
4.701,0.78888889,N
4.714,0.77777778,N
