Col1,wPre,Type
0.006,0.76111111,/
0.019,0.79722222,/
0.032,0.81111111,/
0.046,0.87777778,/
0.060,0.85833333,/
0.075,0.82500000,/
0.088,0.80555556,/
0.102,0.80000000,/
0.115,0.81111111,/
0.129,0.80833333,/
0.142,0.83611111,/
0.156,0.88611111,/
0.171,0.85000000,/
0.185,0.80833333,/
0.199,0.80555556,/
0.212,0.79722222,/
0.225,0.82777778,/
0.239,0.83888889,/
0.253,0.83888889,/
0.267,0.87777778,/
0.282,0.82222222,/
0.295,0.79166667,/
0.309,0.79444444,/
0.322,0.80833333,/
0.335,0.85277778,/
0.349,0.85555556,/
0.364,0.83888889,/
0.378,0.87222222,/
0.392,0.80555556,/
0.406,0.77777778,/
0.419,0.80555556,/
0.432,0.82500000,/
0.446,0.86111111,/
0.460,0.84722222,/
0.474,0.82777778,/
0.488,0.83888889,/
0.502,0.85277778,/
0.516,0.72777778,/
0.528,0.82222222,/
0.542,0.85555556,/
0.556,0.86666667,/
0.571,0.83888889,/
0.585,0.81666667,/
0.598,0.82500000,/
0.612,0.80000000,/
0.626,0.79444444,/
0.639,0.83611111,/
0.653,0.86111111,/
0.667,0.86111111,/
0.681,0.81944444,/
0.695,0.80000000,/
0.708,0.88611111,/
0.723,0.75000000,/
0.736,0.81388889,/
0.749,0.85833333,/
0.764,0.86388889,/
0.778,0.84722222,/
0.792,0.79166667,/
0.805,0.79722222,/
0.819,0.83055556,/
0.832,0.81944444,/
0.846,0.83055556,/
0.860,0.85000000,/
0.874,0.84722222,/
0.888,0.82222222,/
0.902,0.79166667,/
0.915,0.80555556,/
0.928,0.84444444,/
0.943,0.84444444,/
0.957,0.83888889,/
0.971,0.84166667,/
0.985,0.83055556,/
0.998,0.80555556,/
1.012,0.79444444,/
1.025,0.80833333,/
1.039,0.86111111,/
1.053,0.85000000,/
1.067,0.83333333,/
1.081,0.82500000,/
1.095,0.82500000,/
1.109,0.80555556,/
1.122,0.80000000,/
1.135,0.84166667,/
1.149,0.86944444,/
1.164,0.84166667,/
1.178,0.82222222,/
1.192,0.79722222,/
1.205,0.81388889,/
1.218,0.80555556,/
1.232,0.81111111,/
1.245,0.96111111,/
1.261,0.76944444,f
1.274,0.83055556,f
1.288,0.81111111,f
1.302,0.81666667,f
1.315,0.81666667,f
1.329,0.80277778,f
1.355,0.85000000,N
1.370,0.82777778,N
1.383,0.78055556,N
1.396,0.77500000,N
1.409,0.76666667,N
1.422,0.78611111,N
1.435,0.80555556,N
1.449,0.82500000,N
1.462,0.82222222,N
1.476,0.82777778,N
1.490,0.79444444,N
1.503,0.74444444,N
1.515,0.76666667,N
1.528,0.79722222,N
1.542,0.82777778,N
1.555,0.80000000,N
1.569,0.48611111,V
1.591,0.81111111,/
1.605,0.78611111,/
1.618,0.80000000,/
1.631,0.82777778,/
1.645,0.86666667,/
1.660,0.84722222,f
1.674,0.83055556,f
1.688,0.84166667,f
1.702,0.80000000,f
1.715,0.78611111,f
1.728,0.86388889,f
1.742,0.80555556,f
1.756,0.86944444,f
1.770,0.83333333,f
1.797,0.81111111,N
1.811,0.79166667,N
1.824,0.78333333,N
1.837,0.81666667,N
1.851,0.84166667,N
1.865,0.85833333,N
1.879,0.80833333,N
1.893,0.76944444,N
1.905,0.81111111,f
1.919,0.78611111,N
1.932,0.78333333,N
1.945,0.83888889,f
1.959,0.83333333,N
1.973,0.83333333,N
1.987,0.79722222,N
2.000,0.77222222,N
2.013,0.79444444,N
2.026,0.80277778,N
2.040,0.81944444,N
2.053,0.83055556,N
2.067,0.81944444,N
2.081,0.83055556,N
2.095,0.76944444,N
2.107,0.77222222,N
2.120,0.80277778,N
2.134,0.81111111,N
2.147,0.83055556,N
2.161,0.83055556,N
2.175,0.80555556,N
2.188,0.81388889,N
2.202,0.77777778,N
2.215,0.76388889,N
2.228,0.80277778,N
2.241,0.84444444,N
2.255,0.81944444,N
2.269,0.80277778,N
2.282,0.79444444,N
2.295,0.77500000,N
2.308,0.79166667,N
2.321,0.76666667,N
2.334,0.78333333,N
2.347,0.86666667,N
2.362,0.83333333,N
2.376,0.78888889,N
2.389,0.79166667,N
2.402,0.77500000,N
2.415,0.77777778,N
2.428,0.78611111,N
2.441,0.80000000,N
2.454,0.85000000,N
2.468,0.82500000,N
2.482,0.77222222,N
2.495,0.78055556,N
2.508,0.76944444,N
2.521,0.78333333,N
2.534,0.79444444,N
2.547,0.82222222,N
2.561,0.84166667,N
2.575,0.81388889,N
2.588,0.78055556,N
2.601,0.76944444,N
2.614,0.76111111,N
2.627,0.81111111,N
2.641,0.81666667,N
2.654,0.81111111,N
2.668,0.83611111,N
2.682,0.81388889,N
2.695,0.76666667,N
2.708,0.76388889,N
2.721,0.77222222,N
2.734,0.81111111,N
2.747,0.83888889,N
2.761,0.81944444,N
2.775,0.80833333,N
2.788,0.80833333,N
2.802,0.76666667,N
2.814,0.75277778,N
2.827,0.79722222,N
2.840,0.82777778,N
2.854,0.83333333,N
2.868,0.81944444,N
2.882,0.80277778,N
2.895,0.81666667,f
2.922,0.79166667,/
2.935,0.83055556,/
2.949,0.86666667,/
2.963,0.86666667,/
2.978,0.82777778,/
2.992,0.79722222,/
3.005,0.82500000,/
3.019,0.80555556,/
3.032,0.79722222,/
3.045,0.84444444,/
3.059,0.86388889,/
3.074,0.85000000,/
3.088,0.80000000,/
3.101,0.80555556,/
3.115,0.82777778,/
3.129,0.81666667,/
3.142,0.83333333,/
3.156,0.85277778,/
3.170,0.85833333,/
3.185,0.82222222,/
3.198,0.78611111,/
3.211,0.80277778,/
3.225,0.82777778,/
3.239,0.83055556,/
3.252,0.84444444,/
3.267,0.84444444,/
3.281,0.84166667,/
3.295,0.81388889,/
3.308,0.79444444,/
3.321,0.81388889,/
3.335,0.85277778,/
3.349,0.90277778,/
3.364,0.78333333,/
3.377,0.82777778,/
3.391,0.82222222,/
3.405,0.80000000,/
3.418,0.79444444,/
3.431,0.83333333,/
3.445,0.86666667,/
3.460,0.84166667,/
3.474,0.83333333,/
3.488,0.81666667,/
3.501,0.81388889,/
3.515,0.80555556,/
3.528,0.80555556,/
3.542,0.86111111,/
3.556,0.86111111,/
3.570,0.83333333,/
3.584,0.81666667,/
3.598,0.79722222,/
3.611,0.81388889,/
3.625,0.80833333,/
3.638,0.83055556,/
3.652,0.87777778,/
3.667,0.85555556,/
3.681,0.82222222,/
3.695,0.80555556,/
3.708,0.79444444,/
3.721,0.82777778,/
3.735,0.82777778,/
3.749,0.83888889,/
3.763,0.87222222,/
3.777,0.84166667,/
3.791,0.78888889,/
3.805,0.79722222,/
3.818,0.80555556,/
3.831,0.84722222,/
3.845,0.84722222,/
3.860,0.84166667,/
3.874,0.87222222,/
3.888,0.81944444,/
3.902,0.78055556,/
3.915,0.80277778,/
3.928,0.81666667,/
3.942,0.86111111,/
3.956,0.84444444,/
3.970,0.83055556,/
3.984,0.84444444,/
3.998,0.80833333,/
4.012,0.78611111,/
4.025,0.81666667,/
4.038,0.84444444,/
4.052,0.87500000,/
4.067,0.84444444,/
4.081,0.81388889,/
4.095,0.82777778,/
4.108,0.80000000,/
4.122,0.79166667,/
4.135,0.82777778,/
4.149,0.85277778,/
4.163,0.87222222,/
4.177,0.82222222,/
4.191,0.79444444,/
4.204,0.83055556,/
4.218,0.81111111,/
4.232,0.80833333,/
4.245,0.85277778,/
4.259,0.85000000,/
4.274,0.85833333,/
4.288,0.80277778,/
4.301,0.78333333,/
4.314,0.83055556,/
4.328,0.81388889,/
4.342,0.82500000,/
4.356,0.85277778,/
4.370,0.85000000,/
4.384,0.83333333,/
4.398,0.80000000,/
4.411,0.79444444,/
4.424,0.83888889,/
4.438,0.84166667,/
4.452,0.83611111,/
4.466,0.84166667,/
4.480,0.83888889,/
4.494,0.80833333,/
4.508,0.79166667,/
4.521,0.80000000,/
4.534,0.85555556,f
4.549,0.86111111,f
4.563,0.82500000,f
4.577,0.83055556,/
4.591,0.88333333,/
4.605,0.75000000,/
4.618,0.79444444,/
4.631,0.83055556,/
4.645,0.86944444,/
4.659,0.84444444,/
4.673,0.82500000,/
4.687,0.80833333,/
4.701,0.80833333,/
4.714,0.80277778,/
4.727,0.80833333,/
4.741,0.85555556,/
4.755,0.86944444,/
4.770,0.83888889,/
4.784,0.81944444,/
4.797,0.80000000,/
4.811,0.81388889,/
4.824,0.81388889,/
4.838,0.83055556,/
4.852,0.86388889,/
4.866,0.85833333,/
4.880,0.81666667,/
