Col1,wPre,Type
0.010,0.72777778,N
0.023,0.56111111,V
0.032,0.76388889,N
0.045,0.50833333,V
0.053,0.79444444,N
0.066,0.49166667,V
0.075,0.75555556,N
0.087,0.52777778,V
0.096,0.71944444,N
0.108,0.48611111,V
0.116,0.77222222,N
0.129,0.56944444,V
0.138,0.86388889,N
0.153,0.51111111,V
0.173,0.65833333,N
0.184,0.62777778,N
0.194,0.59722222,N
0.204,0.63888889,N
0.215,0.65000000,N
0.226,0.70555556,N
0.238,0.68611111,N
0.249,0.62222222,N
0.259,0.60000000,N
0.269,0.73888889,N
0.282,0.55000000,V
0.291,0.72777778,N
0.303,0.47500000,V
0.311,0.99444444,N
0.328,0.51111111,V
0.336,0.54166667,V
0.345,1.23333333,N
0.366,0.48611111,V
0.374,0.88888889,N
0.389,0.50833333,V
0.397,0.41388889,V
0.404,1.23333333,N
0.425,0.59444444,V
0.434,0.90555556,N
0.450,0.70277778,N
0.461,0.65000000,N
0.472,0.66388889,N
0.483,0.65833333,N
0.494,0.63333333,N
0.505,0.64166667,N
0.515,0.63611111,N
0.526,0.71111111,N
0.538,0.66666667,N
0.549,0.83888889,N
0.563,0.56944444,V
0.572,0.99166667,N
0.589,0.49722222,V
0.597,0.42222222,V
0.604,1.30555556,N
0.626,0.58611111,V
0.636,1.02222222,N
0.653,0.71944444,N
0.673,1.01388889,N
0.690,0.50555556,V
0.698,0.90277778,N
0.713,0.51388889,V
0.737,0.74166667,N
0.759,0.86111111,N
0.773,0.51388889,V
0.781,0.78888889,N
0.795,0.48333333,V
0.803,0.91111111,N
0.818,0.53888889,V
0.827,0.94166667,N
0.843,0.51111111,V
0.866,0.67222222,N
0.886,0.84444444,N
0.900,0.48333333,V
0.908,0.85833333,N
0.922,0.51111111,V
0.931,0.91944444,N
0.946,0.58611111,V
0.956,0.86666667,N
0.970,0.46388889,V
0.978,0.75000000,N
0.990,0.51111111,V
0.999,0.83055556,N
1.013,0.51111111,V
1.036,0.71666667,N
1.048,0.65000000,N
1.059,0.67222222,N
1.070,0.62500000,N
1.081,0.70833333,N
1.093,0.70833333,N
1.104,0.66944444,N
1.116,0.67500000,N
1.127,0.70555556,N
1.139,0.63611111,N
1.149,0.77222222,N
1.162,0.58611111,V
1.172,0.87222222,N
1.186,0.46666667,V
1.194,0.55000000,V
1.203,1.09444444,N
1.231,0.89722222,N
1.246,0.53055556,V
1.255,1.01388889,N
1.272,0.49444444,V
1.280,1.01666667,N
1.297,0.51388889,V
1.306,0.98888889,N
1.322,0.52222222,V
1.331,1.00277778,N
1.348,0.56388889,V
1.373,0.65000000,N
1.384,0.63055556,N
1.402,0.86388889,N
1.417,0.53055556,V
1.425,0.94444444,N
1.441,0.54166667,V
1.450,0.81111111,N
1.464,0.49444444,V
1.472,0.83888889,N
1.486,0.53055556,V
1.495,0.86944444,N
1.509,0.47500000,V
1.532,0.74444444,N
1.545,0.75000000,N
1.557,0.75277778,N
1.570,0.69722222,N
1.581,0.69166667,N
1.593,0.70000000,N
1.605,0.79166667,N
1.618,0.80277778,N
1.631,0.82500000,N
1.645,0.98055556,N
1.671,0.99444444,N
1.687,0.51111111,V
1.696,1.01388889,N
1.713,0.52777778,V
1.721,1.03333333,N
1.739,0.64722222,V
1.749,0.93888889,N
1.765,0.53333333,V
1.774,0.87777778,N
1.789,0.48611111,V
1.797,0.88611111,N
1.820,0.45833333,V
1.828,0.85277778,V
1.861,0.49166667,V
1.869,0.86388889,N
1.884,0.55833333,V
1.893,0.76388889,N
1.906,0.53055556,V
1.915,1.04722222,N
1.932,0.54444444,V
1.957,0.73611111,N
1.978,0.83888889,N
1.992,0.50000000,V
2.001,0.84444444,N
2.015,0.57222222,V
2.024,0.94722222,N
2.040,0.55000000,V
2.049,0.85555556,N
2.063,0.51944444,V
2.072,0.84444444,N
2.086,0.51388889,V
2.095,0.90000000,N
2.110,0.52777778,V
2.118,0.90555556,N
2.134,0.51388889,V
2.158,0.63055556,N
2.177,0.90277778,N
2.192,0.53333333,V
2.201,0.86944444,N
2.216,0.51666667,V
2.240,0.93333333,N
2.255,0.85000000,N
2.269,0.71388889,N
2.281,0.77777778,N
2.294,0.78055556,N
2.307,0.77222222,N
2.320,0.75833333,N
2.333,0.76388889,N
2.345,0.74166667,N
2.358,0.75000000,N
2.370,0.73333333,N
2.382,0.68333333,N
2.394,0.68611111,N
2.405,0.68333333,N
2.417,0.79444444,N
2.430,0.82777778,N
2.444,0.77500000,N
2.457,0.65833333,N
2.468,0.66944444,N
2.479,0.68888889,N
2.490,0.68888889,N
2.502,0.70000000,N
2.513,0.73888889,N
2.526,0.74444444,N
2.538,0.68611111,N
2.550,0.71944444,N
2.562,0.76388889,N
2.574,0.66944444,N
2.585,0.65277778,N
2.596,0.66944444,N
2.607,0.69444444,N
2.619,0.69166667,N
2.631,0.76666667,N
2.643,0.77500000,N
2.656,0.67500000,N
2.667,0.66388889,N
2.679,0.66388889,N
2.690,0.71111111,N
2.701,0.71111111,N
2.713,0.75000000,N
2.726,0.72777778,N
2.738,0.71944444,N
2.750,0.69444444,N
2.762,0.71111111,N
2.773,0.71388889,N
2.785,0.66666667,N
2.796,0.67777778,N
2.808,0.65833333,N
2.819,0.73611111,N
2.831,0.80000000,N
2.844,0.75000000,N
2.857,0.66944444,N
2.868,0.65277778,N
2.879,0.67222222,N
2.890,0.68611111,N
2.901,0.69166667,N
2.913,0.72500000,N
2.925,0.73055556,N
2.937,0.52500000,V
2.946,0.62777778,V
2.956,0.97222222,N
2.973,0.51666667,V
2.981,0.64722222,V
2.992,0.85555556,N
3.015,0.90833333,N
3.030,0.54722222,V
3.039,0.97222222,N
3.055,0.51388889,V
3.064,0.84722222,N
3.078,0.46944444,V
3.086,0.85000000,N
3.100,0.56111111,V
3.109,0.87777778,N
3.124,0.54722222,V
3.133,0.91388889,N
3.148,0.53888889,V
3.157,0.89722222,N
3.172,0.51944444,V
3.181,0.93055556,N
3.196,0.48888889,V
3.204,0.88888889,N
3.219,0.61666667,V
3.229,0.96111111,N
3.245,0.57500000,V
3.255,0.86388889,N
3.269,0.50000000,V
3.278,0.80000000,N
3.291,0.48611111,V
3.299,0.87500000,N
3.314,0.67500000,V
3.325,0.80833333,N
3.338,0.58333333,V
3.348,0.81111111,N
3.362,0.53611111,V
3.371,0.88888889,N
3.385,0.51111111,V
3.394,0.80555556,N
3.407,0.52500000,V
3.416,0.85000000,N
3.430,0.52222222,V
3.454,0.71388889,N
3.465,0.64166667,N
3.476,0.65000000,N
3.487,0.55277778,A
3.496,0.74444444,N
3.509,0.76111111,N
3.521,0.76111111,N
3.534,0.69444444,N
3.546,0.71666667,N
3.557,0.71944444,N
3.569,0.68333333,N
3.591,0.81111111,N
3.604,0.51944444,V
3.613,0.91944444,N
3.628,0.53055556,V
3.637,1.06388889,N
3.655,0.51388889,V
3.678,0.57222222,V
3.701,0.66388889,N
3.712,0.73333333,N
3.735,0.79444444,N
3.749,0.55000000,V
3.758,0.80277778,N
3.771,0.53888889,V
3.780,0.85833333,N
3.795,0.50555556,V
3.803,0.78888889,N
3.816,0.51388889,V
3.825,0.41944444,V
3.851,0.52777778,V
3.873,0.67222222,N
3.885,0.60000000,N
3.895,0.62777778,N
3.905,0.67777778,N
3.916,0.69444444,N
3.928,0.70277778,N
3.940,0.61944444,N
3.950,0.62777778,N
3.972,0.52777778,A
3.981,0.69166667,N
3.992,0.67500000,N
4.003,0.61388889,N
4.014,0.64722222,N
4.024,0.64722222,N
4.035,0.50000000,V
