Col1,wPre,Type
0.002,0.45277778,V
0.010,0.76111111,N
0.022,0.59444444,F
0.032,0.43333333,V
0.039,0.91111111,N
0.055,0.54722222,V
0.064,0.55833333,V
0.073,0.78055556,N
0.086,0.55000000,V
0.095,0.51111111,V
0.104,0.87777778,N
0.118,0.52500000,V
0.127,0.50833333,V
0.136,0.75277778,N
0.148,0.58333333,V
0.158,0.54166667,V
0.167,0.77777778,N
0.180,0.58611111,F
0.190,0.45833333,V
0.197,0.84166667,N
0.211,0.55833333,F
0.221,0.49444444,V
0.229,0.70000000,N
0.241,0.60555556,F
0.251,0.42777778,V
0.258,0.91944444,N
0.273,0.57222222,V
0.283,0.55277778,V
0.305,0.54722222,F
0.314,0.45833333,V
0.321,0.63333333,N
0.332,0.50000000,N
0.340,0.55000000,F
0.349,0.56388889,N
0.359,0.55833333,N
0.377,0.47222222,V
0.385,0.59722222,N
0.395,0.54166667,N
0.404,0.54166667,N
0.413,0.45833333,V
0.421,0.57500000,N
0.430,0.49444444,N
0.439,0.49166667,N
0.447,0.48611111,V
0.455,0.58611111,N
0.465,0.55000000,N
0.474,0.52777778,N
0.483,0.47777778,V
0.491,0.54444444,N
0.500,0.50555556,N
0.508,0.50555556,N
0.516,0.46944444,V
0.524,0.56111111,N
0.534,0.47500000,N
0.542,0.53055556,N
0.550,0.46388889,V
0.558,0.60555556,N
0.568,0.55000000,N
0.577,0.58055556,N
0.587,0.59444444,N
0.606,0.53611111,F
0.615,0.53888889,N
0.624,0.51944444,N
0.633,0.49166667,N
0.641,0.54444444,N
0.650,0.56944444,N
0.660,0.55000000,N
0.669,0.47222222,V
0.677,0.62777778,N
0.687,0.53055556,N
0.696,0.50555556,V
0.705,0.59166667,N
0.714,0.54722222,N
0.724,0.56388889,F
0.733,0.56111111,N
0.742,0.57777778,N
0.752,0.50277778,V
0.760,0.70833333,N
0.772,0.61666667,N
0.782,0.52500000,V
0.791,0.62222222,N
0.801,0.56388889,N
0.811,0.55555556,F
0.820,0.55833333,N
0.829,0.53888889,N
0.838,0.54444444,N
0.848,0.59166667,N
0.857,0.57777778,N
0.867,0.56388889,N
0.876,0.45000000,V
0.884,0.66944444,N
0.895,0.56944444,N
0.905,0.51944444,V
0.922,0.51666667,N
0.931,0.51666667,F
0.939,0.45000000,V
0.947,0.74444444,N
0.959,0.58611111,F
0.969,0.47777778,V
0.977,0.70833333,N
0.989,0.55833333,N
0.998,0.46666667,V
1.006,0.61111111,N
1.016,0.55555556,N
1.025,0.53055556,F
1.041,0.68333333,N
1.053,0.57222222,N
1.062,0.51111111,V
1.071,0.70833333,N
1.083,0.57500000,N
1.092,0.54444444,V
1.101,0.60000000,N
1.111,0.56388889,N
1.121,0.52777778,V
1.129,0.46666667,V
1.137,0.81111111,N
1.151,0.56944444,F
1.160,0.47500000,V
1.168,0.78333333,N
1.181,0.56388889,F
1.191,0.43888889,V
1.198,0.68611111,N
