Elapsedtime,sample,Type,Sub,Chan,Num
0:00.494,178,(,0,0,1
0:00.581,209,N,0,0,0
0:00.658,237,),0,0,1
0:00.703,253,(,0,0,2
0:00.758,273,t,0,0,1
0:00.853,307,),0,0,2
0:01.175,423,(,0,0,0
0:01.214,437,p,0,0,0
0:01.256,452,),0,0,0
0:01.303,469,(,0,0,1
0:01.339,482,N,0,0,0
0:01.367,492,),0,0,1
0:01.486,535,(,0,0,2
0:01.572,566,t,0,0,0
0:01.653,595,),0,0,2
0:01.767,636,(,0,0,0
0:01.800,648,p,0,0,0
0:01.831,659,),0,0,0
0:01.844,664,(,0,0,1
0:01.933,696,N,0,0,0
0:01.969,709,),0,0,1
0:02.050,738,(,0,0,2
0:02.100,756,t,0,0,1
0:02.194,790,),0,0,2
0:02.292,825,(,0,0,1
0:02.372,854,N,0,0,0
0:02.464,887,),0,0,1
0:02.494,898,(,0,0,2
0:02.564,923,t,0,0,1
0:02.658,957,),0,0,2
0:03.108,1119,(,0,0,0
0:03.147,1133,p,0,0,0
0:03.189,1148,),0,0,0
0:03.244,1168,(,0,0,1
0:03.278,1180,N,0,0,0
0:03.306,1190,),0,0,1
0:03.414,1229,(,0,0,2
0:03.528,1270,t,0,0,0
0:03.603,1297,),0,0,2
0:03.708,1335,(,0,0,1
0:03.828,1378,N,0,0,0
0:03.911,1408,),0,0,1
0:03.939,1418,(,0,0,2
0:04.028,1450,t,0,0,1
0:04.128,1486,),0,0,2
0:04.297,1547,(,0,0,1
0:04.386,1579,N,0,0,0
0:04.475,1611,),0,0,1
0:04.517,1626,(,0,0,2
0:04.594,1654,t,0,0,1
0:04.694,1690,),0,0,2
0:04.992,1797,(,0,0,0
0:05.028,1810,p,0,0,0
0:05.075,1827,),0,0,0
0:05.125,1845,(,0,0,1
0:05.164,1859,N,0,0,0
0:05.356,1928,),0,0,1
0:05.389,1940,t,0,0,3
0:05.467,1968,),0,0,2
0:05.469,1969,(,0,0,0
0:05.539,1994,p,0,0,0
0:05.619,2023,),0,0,0
0:05.650,2034,(,0,0,1
0:05.725,2061,N,0,0,0
0:05.803,2089,),0,0,1
0:05.839,2102,(,0,0,2
0:05.925,2133,t,0,0,1
0:06.028,2170,),0,0,2
0:06.136,2209,(,0,0,1
0:06.236,2245,N,0,0,0
0:06.325,2277,),0,0,1
0:06.361,2290,(,0,0,2
0:06.428,2314,t,0,0,1
0:06.531,2351,),0,0,2
0:06.944,2500,(,0,0,0
0:06.983,2514,p,0,0,0
0:07.025,2529,),0,0,0
0:07.069,2545,(,0,0,1
0:07.103,2557,N,0,0,0
0:07.128,2566,),0,0,1
0:07.228,2602,(,0,0,2
0:07.333,2640,t,0,0,0
0:07.411,2668,),0,0,2
0:07.414,2669,(,0,0,0
0:07.431,2675,p,0,0,0
0:07.539,2714,),0,0,0
0:07.556,2720,(,0,0,1
0:07.631,2747,N,0,0,0
0:07.714,2777,),0,0,1
0:07.742,2787,(,0,0,2
0:07.825,2817,t,0,0,1
0:07.925,2853,),0,0,2
0:08.058,2901,(,0,0,1
0:08.139,2930,N,0,0,0
0:08.222,2960,),0,0,1
0:08.253,2971,(,0,0,2
0:08.317,2994,t,0,0,1
0:08.406,3026,),0,0,2
0:08.719,3139,(,0,0,0
0:08.756,3152,p,0,0,0
0:08.800,3168,),0,0,0
0:08.853,3187,(,0,0,1
0:08.889,3200,N,0,0,0
0:08.917,3210,),0,0,1
0:09.039,3254,(,0,0,2
0:09.133,3288,t,0,0,0
0:09.219,3319,),0,0,2
0:09.403,3385,(,0,0,1
0:09.481,3413,N,0,0,0
0:09.567,3444,),0,0,1
0:09.614,3461,(,0,0,2
0:09.689,3488,t,0,0,1
0:09.800,3528,),0,0,2
0:09.925,3573,(,0,0,1
0:10.017,3606,N,0,0,0
0:10.097,3635,),0,0,1
0:10.142,3651,(,0,0,2
0:10.217,3678,t,0,0,1
0:10.314,3713,),0,0,2
0:10.619,3823,(,0,0,0
0:10.658,3837,p,0,0,0
0:10.706,3854,),0,0,0
0:10.756,3872,(,0,0,1
0:10.792,3885,N,0,0,0
0:10.817,3894,),0,0,1
0:10.925,3933,(,0,0,2
0:11.028,3970,t,0,0,0
0:11.108,3999,),0,0,2
0:11.289,4064,(,0,0,1
0:11.378,4096,N,0,0,0
0:11.414,4109,),0,0,1
0:11.458,4125,(,0,0,2
0:11.542,4155,t,0,0,1
0:11.639,4190,),0,0,2
0:11.761,4234,(,0,0,1
0:11.850,4266,N,0,0,0
0:11.928,4294,),0,0,1
0:11.964,4307,(,0,0,2
0:12.039,4334,t,0,0,1
0:12.142,4371,),0,0,2
0:12.517,4506,(,0,0,0
0:12.553,4519,p,0,0,0
0:12.589,4532,),0,0,0
0:12.642,4551,(,0,0,1
0:12.678,4564,N,0,0,0
0:12.703,4573,),0,0,1
0:12.792,4605,(,0,0,2
0:12.900,4644,t,0,0,0
0:12.978,4672,),0,0,2
0:13.142,4731,(,0,0,1
0:13.236,4765,N,0,0,0
0:13.278,4780,),0,0,1
0:13.356,4808,(,0,0,2
0:13.406,4826,t,0,0,1
0:13.503,4861,),0,0,2
0:13.644,4912,(,0,0,1
0:13.733,4944,N,0,0,0
0:13.819,4975,),0,0,1
0:13.869,4993,(,0,0,2
0:13.933,5016,t,0,0,1
0:14.031,5051,),0,0,2
0:14.281,5141,(,0,0,0
0:14.314,5153,p,0,0,0
0:14.347,5165,),0,0,0
0:14.397,5183,(,0,0,1
0:14.431,5195,N,0,0,0
0:14.458,5205,),0,0,1
0:14.561,5242,(,0,0,2
