Elapsedtime,sample,Type,Sub,Chan,Num
0:00.300,108,(,0,0,0
0:00.350,126,p,0,0,0
0:00.403,145,),0,0,0
0:00.442,159,(,0,0,1
0:00.525,189,N,0,0,0
0:00.561,202,),0,0,1
0:00.683,246,(,0,0,2
0:00.786,283,t,0,0,0
0:00.897,323,),0,0,2
0:01.431,515,(,0,0,0
0:01.483,534,p,0,0,0
0:01.533,552,),0,0,0
0:01.597,575,(,0,0,1
0:01.664,599,N,0,0,0
0:01.697,611,),0,0,1
0:01.828,658,(,0,0,2
0:01.931,695,t,0,0,0
0:02.033,732,),0,0,2
0:02.569,925,(,0,0,0
0:02.617,942,p,0,0,0
0:02.669,961,),0,0,0
0:02.708,975,(,0,0,1
0:02.789,1004,N,0,0,0
0:02.828,1018,),0,0,1
0:02.958,1065,(,0,0,2
0:03.061,1102,t,0,0,0
0:03.161,1138,),0,0,2
0:03.689,1328,(,0,0,0
0:03.736,1345,p,0,0,0
0:03.792,1365,),0,0,0
0:03.839,1382,(,0,0,1
0:03.917,1410,N,0,0,0
0:03.944,1420,),0,0,1
0:04.083,1470,(,0,0,2
0:04.192,1509,t,0,0,0
0:04.297,1547,),0,0,2
0:04.867,1752,(,0,0,0
0:04.917,1770,p,0,0,0
0:04.981,1793,),0,0,0
0:05.006,1802,(,0,0,1
0:05.097,1835,N,0,0,0
0:05.131,1847,),0,0,1
0:05.272,1898,(,0,0,2
0:05.367,1932,t,0,0,0
0:05.464,1967,),0,0,2
0:06.011,2164,(,0,0,0
0:06.064,2183,p,0,0,0
0:06.111,2200,),0,0,0
0:06.144,2212,(,0,0,1
0:06.244,2248,N,0,0,0
0:06.278,2260,),0,0,1
0:06.406,2306,(,0,0,2
0:06.514,2345,t,0,0,0
0:06.622,2384,),0,0,2
0:07.206,2594,(,0,0,0
0:07.258,2613,p,0,0,0
0:07.311,2632,),0,0,0
0:07.344,2644,(,0,0,1
0:07.436,2677,N,0,0,0
0:07.469,2689,),0,0,1
