Elapsedtime,sample,Type,Sub,Chan,Num
0:00.831,299,(,0,0,0
0:00.861,310,p,0,0,0
0:00.906,326,),0,0,0
0:00.942,339,(,0,0,1
0:00.972,350,N,0,0,0
0:01.014,365,),0,0,1
0:01.172,422,(,0,0,2
0:01.247,449,t,0,0,0
0:01.372,494,),0,0,2
0:01.864,671,(,0,0,0
0:01.897,683,p,0,0,0
0:01.944,700,),0,0,0
0:01.978,712,(,0,0,1
0:02.011,724,N,0,0,0
0:02.050,738,),0,0,1
0:02.189,788,(,0,0,2
0:02.272,818,t,0,0,0
0:02.389,860,),0,0,2
0:02.869,1033,(,0,0,0
0:02.906,1046,p,0,0,0
0:02.947,1061,),0,0,0
0:02.983,1074,(,0,0,1
0:03.014,1085,N,0,0,0
0:03.053,1099,),0,0,1
0:03.186,1147,(,0,0,2
0:03.278,1180,t,0,0,0
0:03.397,1223,),0,0,2
0:03.878,1396,(,0,0,0
0:03.908,1407,p,0,0,0
0:03.950,1422,),0,0,0
0:03.986,1435,(,0,0,1
0:04.019,1447,N,0,0,0
0:04.058,1461,),0,0,1
0:04.219,1519,(,0,0,2
0:04.297,1547,t,0,0,0
0:04.422,1592,),0,0,2
0:04.931,1775,(,0,0,0
0:04.964,1787,p,0,0,0
0:05.008,1803,),0,0,0
0:05.047,1817,(,0,0,1
0:05.078,1828,N,0,0,0
0:05.119,1843,),0,0,1
0:05.278,1900,(,0,0,2
0:05.361,1930,t,0,0,0
0:05.489,1976,),0,0,2
0:05.950,2142,(,0,0,0
0:05.983,2154,p,0,0,0
0:06.031,2171,),0,0,0
0:06.069,2185,(,0,0,1
0:06.103,2197,N,0,0,0
0:06.142,2211,),0,0,1
0:06.294,2266,(,0,0,2
0:06.386,2299,t,0,0,0
0:06.519,2347,),0,0,2
0:06.986,2515,(,0,0,0
0:07.025,2529,p,0,0,0
0:07.078,2548,),0,0,0
0:07.106,2558,(,0,0,1
0:07.139,2570,N,0,0,0
0:07.181,2585,),0,0,1
0:07.331,2639,(,0,0,2
0:07.414,2669,t,0,0,0
0:07.519,2707,),0,0,2
0:07.956,2864,(,0,0,0
0:07.989,2876,p,0,0,0
0:08.036,2893,),0,0,0
0:08.072,2906,(,0,0,1
0:08.106,2918,N,0,0,0
0:08.150,2934,),0,0,1
0:08.292,2985,(,0,0,2
0:08.367,3012,t,0,0,0
0:08.481,3053,),0,0,2
0:08.836,3181,(,0,0,0
0:08.869,3193,p,0,0,0
0:08.911,3208,),0,0,0
0:08.947,3221,(,0,0,1
0:08.981,3233,N,0,0,0
0:09.022,3248,),0,0,1
0:09.164,3299,(,0,0,2
0:09.247,3329,t,0,0,0
0:09.386,3379,),0,0,2
0:09.767,3516,(,0,0,0
0:09.803,3529,p,0,0,0
0:09.842,3543,),0,0,0
0:09.883,3558,(,0,0,1
0:09.917,3570,N,0,0,0
0:09.958,3585,),0,0,1
0:10.111,3640,(,0,0,2
0:10.203,3673,t,0,0,0
0:10.328,3718,),0,0,2
