Elapsedtime,sample,Type,Sub,Chan,Num
0:00.508,183,(,0,0,0
0:00.558,201,p,0,0,0
0:00.633,228,),0,0,0
0:00.700,252,(,0,0,1
0:00.733,264,N,0,0,0
0:00.772,278,),0,0,1
0:00.908,327,(,0,0,2
0:01.003,361,t,0,0,0
0:01.083,390,),0,0,2
0:01.372,494,(,0,0,0
0:01.425,513,p,0,0,0
0:01.500,540,),0,0,0
0:01.564,563,(,0,0,1
0:01.594,574,N,0,0,0
0:01.631,587,),0,0,1
0:01.750,630,(,0,0,2
0:01.842,663,t,0,0,0
0:01.919,691,),0,0,2
0:02.211,796,(,0,0,0
0:02.258,813,p,0,0,0
0:02.333,840,),0,0,0
0:02.397,863,(,0,0,1
0:02.431,875,N,0,0,0
0:02.469,889,),0,0,1
0:02.589,932,(,0,0,2
0:02.686,967,t,0,0,0
0:02.764,995,),0,0,2
0:03.061,1102,(,0,0,0
0:03.108,1119,p,0,0,0
0:03.183,1146,),0,0,0
0:03.244,1168,(,0,0,1
0:03.275,1179,N,0,0,0
0:03.314,1193,),0,0,1
0:03.436,1237,(,0,0,2
0:03.531,1271,t,0,0,0
0:03.617,1302,),0,0,2
0:03.900,1404,(,0,0,0
0:03.947,1421,p,0,0,0
0:04.022,1448,),0,0,0
0:04.083,1470,(,0,0,1
0:04.114,1481,N,0,0,0
0:04.150,1494,),0,0,1
0:04.275,1539,(,0,0,2
0:04.375,1575,t,0,0,0
0:04.461,1606,),0,0,2
0:04.747,1709,(,0,0,0
0:04.797,1727,p,0,0,0
0:04.881,1757,),0,0,0
0:04.947,1781,(,0,0,1
0:04.983,1794,N,0,0,0
0:05.022,1808,),0,0,1
0:05.161,1858,(,0,0,2
0:05.269,1897,t,0,0,0
0:05.364,1931,),0,0,2
0:05.686,2047,(,0,0,0
0:05.733,2064,p,0,0,0
0:05.808,2091,),0,0,0
0:05.872,2114,(,0,0,1
0:05.906,2126,N,0,0,0
0:05.947,2141,),0,0,1
0:06.083,2190,(,0,0,2
0:06.183,2226,t,0,0,0
0:06.267,2256,),0,0,2
0:06.572,2366,(,0,0,0
