Col1,wPre,Type
0.014,1.15555556,N
0.034,1.15833333,N
0.053,1.13888889,N
0.072,1.14444444,N
0.091,1.09166667,N
0.109,1.06666667,N
0.127,1.17777778,N
0.147,1.11666667,N
0.165,1.09166667,N
0.183,1.08611111,N
0.201,1.04444444,N
0.219,1.14444444,N
0.238,1.13055556,N
0.257,1.08611111,N
0.275,1.08055556,N
0.293,1.06388889,N
0.311,1.05833333,N
0.328,1.15277778,N
0.347,1.10833333,N
0.366,1.08611111,N
0.384,1.05833333,N
0.402,1.06666667,N
0.419,1.14722222,N
0.439,1.17500000,N
0.458,1.10833333,N
0.477,1.11388889,N
0.495,1.14444444,N
0.514,1.12777778,N
0.533,1.19722222,N
0.553,1.15555556,N
0.572,1.09166667,N
0.591,1.11388889,N
0.609,1.09166667,N
0.627,1.13055556,N
0.646,1.17222222,N
0.666,1.08055556,N
0.684,1.08055556,N
0.702,1.06388889,N
0.719,1.16111111,N
0.739,1.12500000,N
0.757,1.12500000,N
0.776,1.06388889,N
0.794,1.06111111,N
0.812,1.10277778,N
0.830,1.09722222,N
0.848,1.11111111,N
0.867,1.08611111,N
0.885,1.00833333,N
0.902,1.01388889,N
0.919,1.11388889,N
0.937,1.07777778,N
0.955,1.08888889,N
0.973,1.04166667,N
0.991,1.03055556,N
1.008,1.02777778,N
1.025,1.12500000,N
1.044,1.08888889,N
1.062,1.09444444,N
1.080,1.03611111,N
1.097,1.03333333,N
1.115,1.09444444,N
1.133,1.11111111,N
1.151,1.07500000,N
1.169,1.08333333,N
1.187,1.03333333,N
1.205,0.99444444,N
1.221,1.12222222,N
1.240,1.07777778,N
1.258,1.05833333,N
1.275,1.06388889,N
1.293,1.00833333,N
1.310,1.02777778,N
1.327,1.10833333,N
1.346,1.08333333,N
1.364,1.05555556,N
1.381,1.04444444,N
1.399,0.99444444,N
1.415,0.54444444,V
1.424,1.62222222,N
1.451,1.06111111,N
1.469,1.08888889,N
1.487,1.03055556,N
1.504,1.00000000,N
1.521,1.09444444,N
1.539,1.11388889,N
1.558,1.03333333,N
1.575,1.06388889,N
1.593,1.05000000,N
1.610,1.01666667,N
1.627,1.11944444,N
1.646,1.11111111,N
1.664,1.06388889,N
1.682,1.07500000,N
1.700,1.02500000,N
1.717,1.11111111,N
1.736,1.11944444,N
1.754,1.09444444,N
1.773,1.08055556,N
1.791,1.08333333,N
1.809,1.04722222,N
1.826,1.13333333,N
1.845,1.11944444,N
1.864,1.09722222,N
1.882,1.05000000,N
1.899,1.07500000,N
1.917,1.13611111,N
1.936,1.12500000,N
1.955,1.11388889,N
1.974,1.08333333,N
1.992,1.09722222,N
2.010,1.10833333,N
2.028,1.13333333,N
2.047,1.13611111,N
2.066,1.11111111,N
2.085,1.05833333,N
2.102,0.54166667,V
2.111,1.65277778,N
2.139,1.15000000,N
2.158,1.09722222,N
2.176,1.09444444,N
2.195,1.06111111,N
2.212,1.11666667,N
2.231,1.11388889,N
2.249,1.10000000,N
2.268,1.09444444,N
2.286,1.05833333,N
2.304,1.03611111,N
2.321,1.14166667,N
2.340,1.09722222,N
2.358,1.07777778,N
2.376,1.10000000,N
2.395,1.03888889,N
2.412,1.11111111,N
2.430,1.11944444,N
2.449,1.12500000,N
2.468,1.08888889,N
2.486,1.08611111,N
2.504,1.03055556,N
2.521,1.14722222,N
2.540,1.12777778,N
2.559,1.06388889,N
2.577,1.09444444,N
2.595,1.05000000,N
2.613,1.05000000,N
2.630,1.14444444,N
2.649,1.07777778,N
2.667,1.05277778,N
2.685,1.07500000,N
2.703,0.99722222,N
2.719,1.13055556,N
2.738,1.11666667,N
2.757,1.06111111,N
2.774,1.06666667,N
2.792,1.06666667,N
2.810,1.06111111,N
2.828,1.14166667,N
2.847,1.11388889,N
2.865,1.07777778,N
2.883,1.08333333,N
2.901,1.05277778,N
2.919,1.12222222,N
2.938,1.15277778,N
2.957,1.08888889,N
2.975,1.06944444,N
2.993,1.11388889,N
3.011,1.06944444,N
3.029,1.15277778,N
3.048,1.13611111,N
3.067,1.05833333,N
3.085,1.09444444,N
3.103,1.04166667,N
3.120,1.13055556,N
3.139,1.15000000,N
3.158,1.06666667,N
3.176,1.07500000,N
3.194,1.06666667,N
3.212,0.61111111,V
3.222,1.55000000,N
3.248,1.10833333,N
3.266,1.05555556,N
3.284,1.04444444,N
3.301,0.98611111,N
3.318,1.12777778,N
3.337,1.06944444,N
3.354,1.10000000,N
3.373,1.04444444,N
3.390,1.05555556,N
3.408,1.04722222,N
3.425,1.13611111,N
3.444,1.11111111,N
3.463,1.12222222,N
3.481,1.08333333,N
3.499,1.03888889,N
3.517,1.18333333,N
3.537,1.12777778,N
3.555,1.11666667,N
3.574,1.11111111,N
3.592,1.05555556,N
3.610,1.08333333,N
3.628,1.14444444,N
3.647,1.10277778,N
3.666,1.11111111,N
3.684,1.03888889,N
3.701,1.03333333,N
3.719,0.52222222,V
3.727,1.67500000,N
3.755,1.05833333,N
3.773,1.06666667,N
3.791,1.01388889,N
3.808,1.01388889,N
3.824,1.09166667,N
3.843,1.07777778,N
3.861,1.01944444,N
3.878,1.04166667,N
3.895,1.00833333,N
3.912,1.03333333,N
3.929,1.11111111,N
3.947,1.07777778,N
3.965,1.05000000,N
3.983,1.06666667,N
4.001,1.01666667,N
4.018,0.96944444,V
4.034,1.29722222,N
4.055,1.08888889,N
4.074,1.10555556,N
4.092,1.05555556,N
4.110,0.50833333,V
4.118,1.10000000,J
4.136,1.56111111,N
4.162,1.08333333,N
4.181,1.10833333,N
4.199,0.61666667,V
4.209,1.51111111,N
4.234,1.14166667,N
4.253,1.10277778,N
4.272,1.07777778,N
4.290,0.83611111,V
4.304,1.30277778,N
4.325,1.14444444,N
4.345,1.16111111,N
4.364,1.07777778,N
4.382,0.61388889,V
4.392,1.52500000,N
4.418,1.13055556,N
4.436,1.13888889,N
4.455,1.09444444,N
