Col1,wPre,Type
0.003,0.67500000,/
0.015,0.83055556,/
0.028,0.79444444,/
0.042,0.79722222,/
0.055,0.80277778,f
0.068,0.75555556,f
0.081,0.86944444,/
0.095,0.83055556,/
0.109,0.80555556,/
0.123,0.80833333,/
0.136,0.80555556,/
0.150,0.80555556,f
0.163,0.76111111,f
0.176,0.85000000,/
0.190,0.84722222,/
0.204,0.82500000,/
0.218,0.80833333,/
0.231,0.79444444,/
0.244,0.80000000,f
0.258,0.84444444,f
0.272,0.75000000,/
0.284,0.85555556,/
0.299,0.81388889,/
0.312,0.82777778,/
0.326,0.80555556,/
0.353,0.83888889,f
0.367,0.73055556,/
0.379,0.86666667,/
0.407,0.81666667,/
0.421,0.80555556,/
0.434,0.83333333,f
0.448,0.75833333,f
0.461,0.78055556,/
0.474,0.83611111,/
0.488,0.85000000,/
0.502,0.82222222,/
0.516,0.83055556,f
0.529,0.80833333,f
0.543,0.87500000,f
0.557,0.68611111,/
0.569,0.80000000,/
0.582,0.86111111,/
0.597,0.83333333,/
0.610,0.81666667,/
0.624,0.84444444,f
0.638,0.76666667,f
0.651,0.77777778,/
0.664,0.77222222,/
0.677,0.86944444,/
0.691,0.84166667,/
0.705,0.81111111,/
0.719,0.80833333,f
0.732,0.83888889,f
0.746,0.75555556,/
0.759,0.78055556,/
0.772,0.82222222,/
0.786,0.85277778,/
0.800,0.82500000,/
0.813,0.82777778,/
0.827,0.83888889,f
0.841,0.75833333,f
0.854,0.77777778,/
0.867,0.78888889,/
0.880,0.86111111,/
0.894,0.82777778,/
0.908,0.81666667,/
0.922,0.77500000,f
0.935,0.84166667,f
0.949,0.86666667,f
0.963,0.70000000,/
0.975,0.85000000,/
0.989,0.85000000,/
1.003,0.80833333,/
1.043,0.82222222,Q
1.057,0.75833333,Q
1.083,0.84166667,/
1.111,0.83888889,/
1.125,0.80555556,/
1.138,0.79722222,f
1.152,0.83611111,f
1.166,0.72777778,/
1.178,0.85277778,/
1.192,0.83611111,/
1.206,0.81388889,/
1.219,0.81388889,/
1.233,0.81111111,/
1.247,0.71666667,N
1.259,0.84722222,f
1.273,0.80277778,f
1.286,0.85000000,/
1.300,0.82222222,/
1.314,0.81944444,/
1.328,0.80000000,/
1.341,0.79722222,/
1.354,0.74722222,f
1.367,0.81388889,f
1.380,0.92222222,f
1.396,0.76944444,f
1.408,0.82777778,/
1.422,0.81388889,/
1.436,0.80555556,/
1.449,0.77222222,/
1.462,0.78055556,/
1.475,0.85277778,/
1.502,0.80277778,N
1.515,0.90277778,f
1.531,0.75833333,f
1.556,0.77222222,/
1.569,0.82777778,/
1.583,0.84444444,/
1.597,0.82222222,/
1.611,0.82500000,/
1.625,0.74444444,N
1.637,0.83888889,f
1.651,0.76944444,f
1.664,0.79722222,/
1.677,0.84444444,/
1.691,0.82777778,/
1.719,0.81666667,/
1.732,0.81111111,/
1.746,0.74444444,N
1.758,0.83611111,f
1.772,0.82222222,/
1.786,0.82777778,/
1.800,0.81388889,/
1.813,0.82500000,/
1.827,0.81111111,/
1.840,0.79166667,/
1.854,0.73055556,N
1.866,0.84722222,f
1.880,0.84166667,f
1.908,0.83611111,/
1.922,0.80833333,/
1.935,0.92777778,/
1.951,0.65555556,/
1.962,0.77500000,/
1.975,0.83611111,f
1.989,0.81111111,N
2.002,0.86666667,f
2.016,0.79722222,f
2.030,0.82500000,/
2.044,0.78055556,/
2.057,0.76944444,/
2.069,0.84444444,/
2.083,0.84444444,/
2.098,0.81666667,/
2.111,0.82500000,/
2.125,0.78611111,f
2.138,0.76666667,N
2.151,0.80277778,f
2.164,0.80000000,f
2.177,0.85277778,/
2.192,0.82222222,/
2.205,0.83888889,/
2.219,0.81666667,/
2.233,0.81666667,/
2.247,0.77777778,/
2.260,0.77500000,/
2.272,0.85000000,/
2.287,0.81388889,f
2.300,0.69444444,N
2.312,0.86944444,f
2.326,0.86111111,f
2.341,0.73055556,f
2.366,0.82500000,/
2.379,0.84166667,/
2.393,0.82500000,/
2.407,0.83611111,/
2.435,0.80000000,/
2.448,0.77500000,/
2.461,0.78333333,/
2.474,0.84166667,/
2.488,0.82222222,/
2.514,0.80277778,N
2.527,0.81944444,N
2.541,0.81666667,f
2.554,0.80833333,f
2.568,0.86666667,f
2.582,0.76111111,f
2.609,0.82222222,/
2.636,0.80000000,/
2.649,0.77222222,/
2.662,0.79722222,/
2.676,0.84166667,/
2.690,0.82500000,/
2.716,0.78333333,N
2.729,0.87222222,f
2.744,0.75277778,f
2.769,0.85000000,/
2.783,0.83055556,/
2.825,0.82222222,/
2.838,0.78333333,/
2.864,0.75277778,N
2.876,0.92222222,f
2.892,0.77500000,f
2.904,0.84166667,/
2.919,0.81388889,/
2.932,0.80555556,/
2.946,0.78333333,/
2.959,0.78611111,/
2.972,0.83055556,/
2.986,0.82777778,/
3.025,0.88055556,f
3.039,0.82777778,f
3.053,0.70833333,f
3.079,0.83333333,/
3.106,0.83055556,/
3.120,0.82500000,/
3.134,0.78888889,/
3.147,0.78055556,/
3.160,0.81111111,/
3.174,0.82222222,/
3.187,0.78611111,/
3.227,0.80555556,N
3.240,0.79166667,f
3.254,0.78611111,f
3.267,0.84722222,f
3.281,0.84166667,f
3.295,0.83888889,f
3.309,0.82777778,f
3.323,0.84166667,f
3.337,0.79722222,f
3.350,0.76388889,f
3.363,0.83055556,f
3.377,0.82500000,f
3.390,0.82222222,f
3.404,0.84166667,f
3.418,0.80555556,f
3.431,0.80277778,f
3.445,0.75277778,f
3.470,0.82777778,Q
3.484,0.81388889,f
3.525,0.78333333,N
3.538,0.75555556,N
3.551,0.74444444,N
3.563,0.80277778,N
3.577,0.80833333,N
3.604,0.81944444,N
3.617,0.81111111,N
3.631,0.78333333,N
3.644,0.76666667,N
3.657,0.76944444,N
3.683,0.80833333,N
3.697,0.80833333,N
3.710,0.81666667,N
3.724,0.80833333,N
3.737,0.77222222,N
3.750,0.74444444,N
3.762,0.79444444,N
3.776,0.81111111,N
3.789,0.80277778,N
3.803,0.52500000,V
3.826,0.81666667,/
3.839,0.76944444,/
3.852,0.77500000,/
3.865,0.83055556,/
3.879,0.81666667,/
3.893,0.82222222,/
3.906,0.83333333,/
3.920,0.83055556,/
3.934,0.78888889,/
3.947,0.76666667,/
3.960,0.81666667,/
3.974,0.82500000,/
3.987,0.82222222,/
4.001,0.82777778,/
4.015,0.83055556,f
4.029,0.80555556,f
4.042,0.76944444,f
4.055,0.79722222,f
4.068,0.82500000,f
4.082,0.88888889,f
4.097,0.83888889,f
4.111,0.81111111,f
4.124,0.81944444,f
4.138,0.76388889,f
4.151,0.75555556,f
4.177,0.81666667,f
4.204,0.83333333,f
4.218,0.83611111,f
4.232,0.79166667,f
4.245,0.76666667,f
4.258,0.82777778,f
4.272,0.66666667,N
4.283,0.86111111,f
4.297,0.83611111,f
4.311,0.82777778,/
4.339,0.78333333,/
4.352,0.76666667,/
4.364,0.82500000,/
4.378,0.81666667,/
4.392,0.83333333,/
4.406,0.83611111,/
4.420,0.83888889,/
4.434,0.78888889,/
4.447,0.76944444,/
4.459,0.82222222,/
4.473,0.81111111,/
4.487,0.80833333,/
4.500,0.83611111,/
4.528,0.80000000,/
4.541,0.76944444,/
4.568,0.83333333,/
4.582,0.79722222,/
4.609,0.83333333,/
4.635,0.64722222,N
4.646,0.76388889,N
