Elapsedtime,sample,Type,Sub,Chan,Num
0:01.761,634,(,0,0,0
0:01.792,645,p,0,0,0
0:01.858,669,),0,0,0
0:01.878,676,(,0,0,1
0:01.914,689,N,0,0,0
0:02.053,739,),0,0,1
0:02.058,741,(,0,0,2
0:02.108,759,t,0,0,5
0:02.406,866,t,0,0,5
0:02.472,890,),0,0,2
0:03.047,1097,(,0,0,0
0:03.072,1106,p,0,0,0
0:03.122,1124,),0,0,0
0:03.147,1133,(,0,0,1
0:03.183,1146,N,0,0,0
0:03.300,1188,),0,0,1
0:03.339,1202,(,0,0,2
0:03.383,1218,t,0,0,0
0:03.519,1267,),0,0,2
0:04.303,1549,(,0,0,0
0:04.367,1572,p,0,0,0
0:04.414,1589,),0,0,0
0:04.433,1596,(,0,0,1
0:04.469,1609,N,0,0,0
0:04.575,1647,),0,0,1
0:04.611,1660,(,0,0,2
0:04.669,1681,t,0,0,0
0:04.797,1727,),0,0,2
0:05.672,2042,(,0,0,1
0:05.753,2071,N,0,0,0
0:05.836,2101,),0,0,1
0:05.881,2117,(,0,0,2
0:05.939,2138,t,0,0,0
0:06.064,2183,),0,0,2
0:06.800,2448,(,0,0,0
0:06.869,2473,p,0,0,0
0:06.903,2485,),0,0,0
0:06.925,2493,(,0,0,1
0:06.958,2505,N,0,0,0
0:07.053,2539,),0,0,1
0:07.086,2551,(,0,0,2
0:07.142,2571,t,0,0,0
0:07.267,2616,),0,0,2
0:07.989,2876,(,0,0,0
0:08.078,2908,p,0,0,0
0:08.133,2928,),0,0,0
0:08.192,2949,(,0,0,1
0:08.300,2988,N,0,0,0
0:08.367,3012,),0,0,1
0:08.394,3022,(,0,0,2
0:08.528,3070,t,0,0,0
0:08.667,3120,),0,0,2
0:09.511,3424,(,0,0,0
0:09.572,3446,p,0,0,0
0:09.617,3462,),0,0,0
0:09.636,3469,(,0,0,1
0:09.672,3482,N,0,0,0
0:09.778,3520,),0,0,1
0:09.822,3536,(,0,0,2
0:09.872,3554,t,0,0,0
0:10.003,3601,),0,0,2
0:10.842,3903,(,0,0,0
0:10.878,3916,p,0,0,0
0:10.911,3928,),0,0,0
0:10.978,3952,(,0,0,1
0:11.042,3975,N,0,0,0
0:11.086,3991,),0,0,1
0:11.169,4021,(,0,0,2
0:11.283,4062,t,0,0,0
0:11.436,4117,),0,0,2
0:12.694,4570,(,0,0,0
0:12.717,4578,p,0,0,0
0:12.742,4587,),0,0,0
0:12.858,4629,(,0,0,1
0:12.906,4646,N,0,0,0
0:12.950,4662,),0,0,1
0:13.083,4710,(,0,0,2
0:13.169,4741,t,0,0,0
0:13.286,4783,),0,0,2
