Col1,wPre,Type
0.003,1.33333333,N
0.025,1.30833333,N
0.047,1.32500000,N
0.069,1.18611111,N
0.089,1.15277778,N
0.108,1.33611111,N
0.131,1.21666667,N
0.151,1.13333333,N
0.170,1.35277778,N
0.192,1.32222222,N
0.214,1.22500000,N
0.235,1.45277778,N
0.259,1.33055556,N
0.281,1.21388889,N
0.301,1.33611111,N
0.324,1.34166667,N
0.346,1.23888889,N
0.367,1.35833333,N
0.389,1.34166667,N
0.412,1.20555556,N
0.432,1.29722222,N
0.453,1.33333333,N
0.476,1.22222222,N
0.496,1.34722222,N
0.518,1.34166667,N
0.541,1.28888889,N
0.562,1.36111111,N
0.585,1.33055556,N
0.607,1.15555556,N
0.626,1.28333333,N
0.648,1.23888889,N
0.668,1.13888889,N
0.687,1.18888889,N
0.707,1.23611111,N
0.728,1.08333333,N
0.746,1.11388889,N
0.764,1.21111111,N
0.785,1.12222222,N
0.803,1.07500000,N
0.821,1.26388889,N
0.842,1.18333333,N
0.862,1.12777778,N
0.881,1.29444444,N
0.902,1.17500000,N
0.922,1.11944444,N
0.941,1.21111111,N
0.961,1.14166667,N
0.980,1.08055556,N
0.998,1.24166667,N
1.019,1.26388889,N
1.040,1.15833333,N
1.059,1.24722222,N
1.080,1.21388889,N
1.100,1.15277778,N
1.119,1.23055556,N
1.140,1.23333333,N
1.160,1.12222222,N
1.179,1.24722222,N
1.200,1.21111111,N
1.220,1.10000000,N
1.238,1.03888889,N
1.256,0.98888889,N
1.272,1.01111111,N
1.289,1.00000000,N
1.306,0.94722222,N
1.321,1.02222222,N
1.338,1.05555556,N
1.356,1.02777778,N
1.373,1.13055556,N
1.392,1.32777778,N
1.414,1.26944444,N
1.435,1.30555556,N
1.457,1.28333333,N
1.478,1.20000000,N
1.498,1.20555556,N
1.518,1.27222222,N
1.540,1.15833333,N
1.559,1.18611111,N
1.579,1.23611111,N
1.599,1.13055556,N
1.618,1.16666667,N
1.638,1.40000000,N
1.661,1.18611111,N
1.681,1.13333333,N
1.700,1.40277778,N
1.723,1.18333333,N
1.743,1.07777778,N
1.761,1.00833333,N
1.778,0.96944444,N
1.794,1.00000000,N
1.810,1.04722222,N
1.828,1.00833333,N
1.845,1.06388889,N
1.862,1.10833333,N
1.881,1.08888889,N
1.899,1.37500000,N
1.922,1.38333333,N
1.945,1.33888889,N
1.967,1.36944444,N
1.990,1.20833333,N
2.010,1.23333333,N
2.031,1.29722222,N
2.052,1.16666667,N
2.072,1.08611111,N
2.090,1.16111111,N
2.109,1.24444444,N
2.130,1.16944444,N
2.149,1.23611111,N
2.170,1.27222222,N
2.191,1.02222222,N
2.208,1.01666667,N
2.225,1.01944444,N
2.242,1.05555556,N
2.260,1.46111111,N
2.284,1.30000000,N
2.306,1.33611111,N
2.328,1.32777778,N
2.350,1.23888889,N
2.371,1.30833333,N
2.393,1.33055556,N
2.415,1.18055556,N
2.435,1.36111111,N
2.457,1.30000000,N
2.479,1.15000000,N
2.498,1.21944444,N
2.518,1.30277778,N
2.540,1.19444444,N
2.560,1.16111111,N
2.579,1.30555556,N
2.601,1.05833333,N
2.619,1.05833333,N
2.636,1.10000000,N
2.655,1.16388889,N
2.674,1.50555556,N
2.699,1.40277778,N
2.723,1.27222222,N
2.744,1.33333333,N
2.766,1.26388889,N
2.787,1.21388889,N
2.807,1.30555556,N
2.829,1.19166667,N
2.849,1.10000000,N
2.867,1.17777778,N
2.887,1.15277778,N
2.906,1.09722222,N
2.924,1.10555556,N
2.943,1.38055556,N
2.966,1.31666667,N
2.988,1.11666667,N
3.006,1.32500000,N
3.029,1.26666667,N
3.050,1.06666667,N
3.067,1.01388889,N
3.084,1.02500000,N
3.101,0.98888889,N
3.118,1.03055556,N
3.135,1.41944444,N
3.159,1.32222222,N
3.181,1.39444444,N
3.204,1.31388889,N
3.226,1.31111111,N
3.248,1.38611111,N
3.271,1.23333333,N
3.291,1.20833333,N
3.312,1.33611111,N
3.334,1.25833333,N
3.355,1.17222222,N
3.374,1.23055556,N
3.395,1.14722222,N
3.414,1.09444444,N
3.432,1.28888889,N
3.454,1.13611111,N
3.473,1.02777778,N
3.490,1.05833333,N
3.507,1.02500000,N
3.524,1.40277778,N
3.548,1.32222222,N
3.570,1.29722222,N
3.591,1.37777778,N
3.614,1.26944444,N
3.636,1.26111111,N
3.657,1.24166667,N
3.677,1.13333333,N
3.696,1.27777778,N
3.717,1.19444444,N
3.737,1.13611111,N
3.756,1.16666667,N
3.776,1.25833333,N
3.797,1.09722222,N
3.815,1.10555556,N
3.833,1.02222222,N
3.851,0.98611111,N
3.867,1.04722222,N
3.884,1.01111111,N
3.901,1.07500000,N
3.919,1.36388889,N
3.942,1.30277778,N
3.964,1.36388889,N
3.986,1.34722222,N
4.009,1.20833333,N
4.029,1.19444444,N
4.049,1.29166667,N
4.070,1.18333333,N
4.090,1.20277778,N
4.110,1.24722222,N
4.131,1.18055556,N
4.151,1.15555556,N
4.170,1.31666667,N
4.192,1.20000000,N
4.212,1.13333333,N
4.231,1.23611111,N
4.251,1.27222222,N
4.272,1.15000000,N
4.292,1.36944444,N
4.314,1.20833333,N
4.335,1.13888889,N
4.354,1.25555556,N
4.375,1.24722222,N
4.395,1.13333333,N
4.414,1.25555556,N
4.435,1.23611111,N
4.456,1.13333333,N
4.475,1.25833333,N
4.496,1.11111111,N
4.514,1.04722222,N
4.532,1.02500000,N
4.549,0.98611111,N
4.565,1.01111111,N
