Col1,wPre,Type
0.003,0.76111111,N
0.016,0.74166667,N
0.029,0.73333333,N
0.041,0.71666667,N
0.053,0.72777778,N
0.077,0.72222222,N
0.089,0.75833333,N
0.102,0.74444444,N
0.114,0.71944444,N
0.126,0.71944444,N
0.138,0.71666667,N
0.150,0.71944444,N
0.162,0.72500000,N
0.174,0.73055556,N
0.186,0.76111111,N
0.199,0.75000000,N
0.212,0.75277778,N
0.224,0.76111111,N
0.237,0.75555556,N
0.262,0.73333333,N
0.274,0.74166667,N
0.287,0.73611111,N
0.299,0.76111111,N
0.312,0.75833333,N
0.324,0.71388889,N
0.336,0.72777778,N
0.348,0.70000000,N
0.360,0.68888889,N
0.371,0.69166667,N
0.383,0.69444444,N
0.395,0.71944444,N
0.407,0.75000000,N
0.419,0.76944444,N
0.444,0.76111111,N
0.457,0.78888889,N
0.470,0.78055556,N
0.483,0.77777778,N
0.496,0.75833333,N
0.521,0.75833333,N
0.534,0.75833333,N
0.547,0.76111111,N
0.559,0.77500000,N
0.572,0.79166667,N
0.585,0.77777778,N
0.611,0.80555556,N
0.625,0.78611111,N
0.638,0.76388889,N
0.651,0.76666667,N
0.664,0.77222222,N
0.676,0.73888889,N
0.689,0.76944444,N
0.715,0.76111111,N
0.727,0.76388889,N
0.740,0.79444444,N
0.753,0.83611111,N
0.767,0.82500000,N
0.781,0.82222222,N
0.795,0.80000000,N
0.808,0.76944444,N
0.821,0.77500000,N
0.834,0.75277778,N
0.846,0.78333333,N
0.859,0.80555556,N
0.873,0.78888889,N
0.886,0.77500000,N
0.899,0.76944444,N
0.912,0.80277778,N
0.925,0.80833333,N
0.938,0.80555556,N
0.952,0.76111111,N
0.965,0.76944444,N
0.977,0.78888889,N
0.991,0.81666667,N
1.004,0.85555556,N
1.018,0.84444444,N
1.032,0.81666667,N
1.046,0.83333333,N
1.060,0.84722222,N
1.074,0.81388889,N
1.088,0.79166667,N
1.101,0.77777778,N
1.114,0.80555556,N
1.127,0.83611111,N
1.141,0.82500000,N
1.155,0.82777778,N
1.169,0.83055556,N
1.183,0.78611111,N
1.196,0.72777778,N
1.208,0.73611111,N
1.220,0.74722222,N
1.232,0.72777778,N
1.245,0.76388889,N
1.257,0.80000000,N
1.271,0.81388889,N
1.284,0.81388889,N
1.298,0.82500000,N
1.312,0.83888889,N
1.326,0.80555556,N
1.339,0.80277778,N
1.352,0.78888889,N
1.366,0.80277778,N
1.379,0.82777778,N
1.393,0.83333333,N
1.407,0.80000000,N
1.420,0.78055556,N
1.433,0.75000000,N
1.445,0.76388889,N
1.458,0.81388889,N
1.472,0.80833333,N
1.485,0.82222222,N
1.499,0.81944444,N
1.513,0.85833333,N
1.527,0.85833333,N
1.541,0.81666667,N
1.555,0.79444444,N
1.568,0.79444444,N
1.581,0.78888889,N
1.594,0.77777778,N
1.607,0.80555556,N
1.621,0.83333333,N
1.635,0.86388889,N
1.649,0.90833333,N
1.664,0.86944444,N
1.679,0.87500000,N
1.693,0.87500000,N
1.708,0.81666667,N
1.721,0.81111111,N
1.735,0.79722222,N
1.748,0.81388889,N
1.762,0.83055556,N
1.776,0.86388889,N
1.790,0.86388889,N
1.804,0.80555556,N
1.818,0.79166667,N
1.831,0.78888889,N
1.844,0.80000000,N
1.858,0.76944444,N
1.870,0.78055556,N
1.883,0.78888889,N
1.897,0.76666667,N
1.923,0.82500000,N
1.937,0.85833333,N
1.965,0.85277778,N
1.979,0.88333333,N
1.994,0.86111111,N
2.008,0.81944444,N
2.022,0.76666667,N
2.034,0.76111111,N
2.047,0.74166667,N
2.059,0.75000000,N
2.072,0.76388889,N
2.085,0.73888889,N
2.097,0.74722222,N
2.109,0.75555556,N
2.122,0.76388889,N
2.135,0.77222222,N
2.148,0.75555556,N
2.160,0.79444444,N
2.174,0.90277778,N
2.204,0.92777778,N
2.219,0.87500000,N
2.234,0.83055556,N
2.248,0.81666667,N
2.261,0.82222222,N
2.275,0.80555556,N
2.288,0.78888889,N
2.301,0.78611111,N
2.315,0.76944444,N
2.327,0.78055556,N
2.340,0.79444444,N
2.354,0.80555556,N
2.367,0.81666667,N
2.381,0.81944444,N
2.394,0.80000000,N
2.408,0.80555556,N
2.421,0.83333333,N
2.435,0.82222222,N
2.449,0.79444444,N
2.500,0.74444444,N
